treatment,test_mode,problem,uses_cohorts,solutions_found,total_runs,min_solution_size
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,for-loop-index,1,8,50,5
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,for-loop-index,1,15,50,11
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,for-loop-index,1,25,50,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,for-loop-index,1,3,50,5
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,for-loop-index,1,26,50,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,for-loop-index,1,20,50,12
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,for-loop-index,1,22,50,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,for-loop-index,1,20,50,11
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,for-loop-index,1,20,50,11
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,18,50,10
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,24,50,10
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,17,49,10
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,21,50,10
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,25,50,10
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,22,50,10
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,18,50,10
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,for-loop-index,1,20,50,10
