,Evaluation,Solution_Count
0,0.0,0
1,5341180.0,1
2,6815740.0,2
3,7307260.0,3
4,7536640.0,4
5,8159230.0,5
6,8912900.0,6
7,9273340.0,7
8,11730900.0,8
9,12746800.0,9
10,13336600.0,10
11,15630300.0,11
12,16449500.0,12
13,16744400.0,13
14,20381700.0,14
15,38371300.0,15
16,38469600.0,16
17,39616500.0,17
18,44236800.0,18
19,52527100.0,19
20,62521300.0,20
21,66224100.0,21
22,74055700.0,22
23,75104300.0,23
24,97353700.0,24
25,104399000.0,25
26,104890000.0,26
27,108298000.0,27
28,117408000.0,28
29,119210000.0,29
30,137462000.0,30
31,170197000.0,31
32,189465000.0,32
33,192872000.0,33
34,193921000.0,34
35,194347000.0,35
36,209158000.0,36
37,249201000.0,37
38,251068000.0,38
39,262144000.0,38
