,Evaluation,Solution_Count
0,0.0,0
1,20709400.0,1
2,25296900.0,2
3,43253800.0,3
4,43253800.0,4
5,43778000.0,5
6,45088800.0,6
7,56885200.0,7
8,57671700.0,8
9,57671700.0,9
10,58982400.0,10
11,69468200.0,11
12,71958500.0,12
13,82051100.0,13
14,84803600.0,14
15,91095000.0,15
16,92799000.0,16
17,94109700.0,17
18,108265000.0,18
19,113246000.0,19
20,122290000.0,20
21,125043000.0,21
22,133693000.0,22
23,145097000.0,23
24,166593000.0,24
25,169083000.0,25
26,170000000.0,26
27,173408000.0,27
28,173801000.0,28
29,175374000.0,29
30,177996000.0,30
31,188219000.0,31
32,204866000.0,32
33,207880000.0,33
34,213778000.0,34
35,214303000.0,35
36,228065000.0,36
37,230425000.0,37
38,231080000.0,38
39,238158000.0,39
40,246940000.0,40
41,262144000.0,40
