,Evaluation,Solution_Count
0,0.0,0
1,54001700.0,1
2,67633200.0,2
3,98566100.0,3
4,99090400.0,4
5,106693000.0,5
6,116916000.0,6
7,120324000.0,7
8,123732000.0,8
9,134218000.0,9
10,142606000.0,10
11,144179000.0,11
12,146276000.0,12
13,152044000.0,13
14,153092000.0,14
15,155189000.0,15
16,158597000.0,16
17,163840000.0,17
18,167510000.0,18
19,167510000.0,19
20,169083000.0,20
21,173539000.0,21
22,174326000.0,22
23,187957000.0,23
24,197394000.0,24
25,201064000.0,25
26,206832000.0,26
27,209715000.0,27
28,212337000.0,28
29,217055000.0,29
30,217317000.0,30
31,222822000.0,31
32,234619000.0,32
33,238551000.0,33
34,238813000.0,34
35,248250000.0,35
36,249037000.0,36
37,249561000.0,37
38,251658000.0,38
39,261358000.0,39
40,262144000.0,39
