,Evaluation,Solution_Count
0,0.0,0
1,58196000.0,1
2,68943900.0,2
3,81788900.0,3
4,82837500.0,4
5,99352600.0,5
6,101712000.0,6
7,117703000.0,7
8,125305000.0,8
9,137626000.0,9
10,147849000.0,10
11,149684000.0,11
12,155976000.0,12
13,162791000.0,13
14,166724000.0,14
15,167772000.0,15
16,171704000.0,16
17,172229000.0,17
18,182452000.0,18
19,183239000.0,19
20,184025000.0,20
21,194773000.0,21
22,200278000.0,22
23,201589000.0,23
24,203686000.0,24
25,205259000.0,25
26,207356000.0,26
27,214434000.0,27
28,217055000.0,28
29,219415000.0,29
30,225444000.0,30
31,231997000.0,31
32,234619000.0,32
33,238027000.0,33
34,245891000.0,34
35,248775000.0,35
36,249037000.0,36
37,250872000.0,37
38,255853000.0,38
39,256901000.0,39
40,258474000.0,40
41,259523000.0,41
42,262144000.0,41
