,Evaluation,Solution_Count
0,0.0,0
1,7208960.0,1
2,11403300.0,2
3,15728600.0,3
4,18939900.0,4
5,23068700.0,5
6,24313900.0,6
7,24379400.0,7
8,27394000.0,8
9,27918300.0,9
10,27918300.0,10
11,28639200.0,11
12,38731800.0,12
13,44302300.0,13
14,56098800.0,14
15,57409500.0,15
16,61276200.0,16
17,61472800.0,17
18,65798100.0,18
19,67895300.0,19
20,70123500.0,20
21,77332500.0,21
22,91553800.0,22
23,93061100.0,23
24,99024900.0,24
25,99090400.0,25
26,105120000.0,26
27,114295000.0,27
28,118096000.0,28
29,129499000.0,29
30,130613000.0,30
31,131531000.0,31
32,135201000.0,32
33,142934000.0,33
34,150798000.0,34
35,165544000.0,35
36,168165000.0,36
37,172818000.0,37
38,180552000.0,38
39,209322000.0,39
40,211354000.0,40
41,220135000.0,41
42,231604000.0,42
43,239010000.0,43
44,242680000.0,44
45,249364000.0,45
46,251724000.0,46
47,255787000.0,47
48,262144000.0,47
