,Evaluation,Solution_Count
0,0.0,0
1,50331600.0,1
2,57147400.0,2
3,73662500.0,3
4,81264600.0,4
5,93323300.0,5
6,94634000.0,6
7,103547000.0,7
8,106955000.0,8
9,117178000.0,9
10,120586000.0,10
11,131858000.0,11
12,137363000.0,12
13,146276000.0,13
14,152044000.0,14
15,152568000.0,15
16,163316000.0,16
17,169083000.0,17
18,170394000.0,18
19,171180000.0,19
20,179831000.0,20
21,190317000.0,21
22,198705000.0,22
23,200016000.0,23
24,208929000.0,24
25,210764000.0,25
26,218890000.0,26
27,221250000.0,27
28,225706000.0,28
29,231211000.0,29
30,231473000.0,30
31,234881000.0,31
32,235667000.0,32
33,236454000.0,33
34,243270000.0,34
35,243270000.0,35
36,245367000.0,36
37,247726000.0,37
38,248250000.0,38
39,262144000.0,38
