,Evaluation,Solution_Count
0,0.0,0
1,15990800.0,1
2,19398700.0,2
3,54001700.0,3
4,54263800.0,4
5,56098800.0,5
6,56623100.0,6
7,84148200.0,7
8,97255400.0,8
9,100925000.0,9
10,133693000.0,10
11,138936000.0,11
12,141820000.0,12
13,156238000.0,13
14,157286000.0,14
15,157549000.0,15
16,159646000.0,16
17,170394000.0,17
18,171704000.0,18
19,178520000.0,19
20,180879000.0,20
21,183501000.0,21
22,197657000.0,22
23,197657000.0,23
24,198967000.0,24
25,199754000.0,25
26,203162000.0,26
27,208929000.0,27
28,219415000.0,28
29,220463000.0,29
30,222560000.0,30
31,223871000.0,31
32,224657000.0,32
33,232522000.0,33
34,238289000.0,34
35,239337000.0,35
36,243007000.0,36
37,244056000.0,37
38,248513000.0,38
39,249561000.0,39
40,258212000.0,40
41,258998000.0,41
42,261882000.0,42
43,262144000.0,43
44,262144000.0,43
