,Generations,Solution_Count
0,0.0,0
1,113.0,1
2,249.0,2
3,278.0,3
4,283.0,4
5,305.0,5
6,321.0,6
7,323.0,7
8,373.0,8
9,376.0,9
10,379.0,10
11,421.0,11
12,459.0,12
13,480.0,13
14,539.0,14
15,540.0,15
16,545.0,16
17,564.0,17
18,611.0,18
19,622.0,19
20,635.0,20
21,646.0,21
22,659.0,22
23,683.0,23
24,697.0,24
25,703.0,25
26,731.0,26
27,734.0,27
28,753.0,28
29,767.0,29
30,776.0,30
31,787.0,31
32,796.0,32
33,801.0,33
34,804.0,34
35,809.0,35
36,842.0,36
37,853.0,37
38,873.0,38
39,874.0,39
40,875.0,40
41,919.0,41
42,936.0,42
43,966.0,43
44,991.0,44
45,995.0,45
46,1000.0,45
