,Generations,Solution_Count
0,0.0,0
1,216.0,1
2,233.0,2
3,316.0,3
4,317.0,4
5,390.0,5
6,394.0,6
7,425.0,7
8,427.0,8
9,452.0,9
10,520.0,10
11,553.0,11
12,594.0,12
13,630.0,13
14,662.0,14
15,667.0,15
16,673.0,16
17,693.0,17
18,715.0,18
19,718.0,19
20,724.0,20
21,728.0,21
22,731.0,22
23,751.0,23
24,768.0,24
25,771.0,25
26,782.0,26
27,794.0,27
28,803.0,28
29,818.0,29
30,835.0,30
31,866.0,31
32,871.0,32
33,875.0,33
34,880.0,34
35,896.0,35
36,921.0,36
37,954.0,37
38,954.0,38
39,957.0,39
40,961.0,40
41,970.0,41
42,977.0,42
43,992.0,43
44,999.0,44
45,1000.0,44
