,Generations,Solution_Count
0,0.0,0
1,109.0,1
2,110.0,2
3,174.0,3
4,194.0,4
5,239.0,5
6,240.0,6
7,241.0,7
8,241.0,8
9,271.0,9
10,289.0,10
11,352.0,11
12,369.0,12
13,371.0,13
14,372.0,14
15,418.0,15
16,426.0,16
17,426.0,17
18,437.0,18
19,497.0,19
20,583.0,20
21,591.0,21
22,621.0,22
23,643.0,23
24,660.0,24
25,668.0,25
26,676.0,26
27,732.0,27
28,751.0,28
29,792.0,29
30,823.0,30
31,824.0,31
32,827.0,32
33,839.0,33
34,845.0,34
35,856.0,35
36,856.0,36
37,876.0,37
38,881.0,38
39,921.0,39
40,929.0,40
41,935.0,41
42,938.0,42
43,984.0,43
44,1000.0,43
