,Generations,Solution_Count
0,0.0,0
1,169.0,1
2,183.0,2
3,247.0,3
4,286.0,4
5,303.0,5
6,337.0,6
7,346.0,7
8,364.0,8
9,396.0,9
10,459.0,10
11,462.0,11
12,507.0,12
13,520.0,13
14,531.0,14
15,544.0,15
16,547.0,16
17,566.0,17
18,574.0,18
19,598.0,19
20,607.0,20
21,635.0,21
22,647.0,22
23,708.0,23
24,726.0,24
25,732.0,25
26,784.0,26
27,799.0,27
28,806.0,28
29,812.0,29
30,856.0,30
31,867.0,31
32,899.0,32
33,903.0,33
34,908.0,34
35,910.0,35
36,919.0,36
37,920.0,37
38,924.0,38
39,937.0,39
40,940.0,40
41,955.0,41
42,957.0,42
43,984.0,43
44,986.0,44
45,990.0,45
46,1000.0,45
