,Generations,Solution_Count
0,0.0,0
1,61.0,1
2,74.0,2
3,206.0,3
4,207.0,4
5,214.0,5
6,216.0,6
7,321.0,7
8,371.0,8
9,385.0,9
10,510.0,10
11,530.0,11
12,541.0,12
13,596.0,13
14,600.0,14
15,601.0,15
16,609.0,16
17,650.0,17
18,655.0,18
19,681.0,19
20,690.0,20
21,700.0,21
22,754.0,22
23,754.0,23
24,759.0,24
25,762.0,25
26,775.0,26
27,797.0,27
28,837.0,28
29,841.0,29
30,849.0,30
31,854.0,31
32,857.0,32
33,887.0,33
34,909.0,34
35,913.0,35
36,927.0,36
37,931.0,37
38,948.0,38
39,952.0,39
40,985.0,40
41,988.0,41
42,999.0,42
43,1000.0,43
44,1000.0,43
