,problem,dims,count
0,for-loop-index,cn128_cs4,31
1,for-loop-index,cn16_cs32,21
2,for-loop-index,cn1_cs512,0
3,for-loop-index,cn256_cs2,30
4,for-loop-index,cn2_cs256,8
5,for-loop-index,cn32_cs16,25
6,for-loop-index,cn4_cs128,8
7,for-loop-index,cn64_cs8,22
8,for-loop-index,cn8_cs64,21
9,median,cn128_cs4,0
10,median,cn16_cs32,36
11,median,cn1_cs512,1
12,median,cn256_cs2,0
13,median,cn2_cs256,19
14,median,cn32_cs16,32
15,median,cn4_cs128,30
16,median,cn64_cs8,19
17,median,cn8_cs64,34
18,small-or-large,cn128_cs4,0
19,small-or-large,cn16_cs32,2
20,small-or-large,cn1_cs512,0
21,small-or-large,cn256_cs2,0
22,small-or-large,cn2_cs256,1
23,small-or-large,cn32_cs16,0
24,small-or-large,cn4_cs128,0
25,small-or-large,cn64_cs8,0
26,small-or-large,cn8_cs64,1
27,smallest,cn128_cs4,23
28,smallest,cn16_cs32,40
29,smallest,cn1_cs512,0
30,smallest,cn256_cs2,0
31,smallest,cn2_cs256,16
32,smallest,cn32_cs16,44
33,smallest,cn4_cs128,33
34,smallest,cn64_cs8,38
35,smallest,cn8_cs64,33
