id,problem,dims,count
0,for-loop-index,cn128_cs4,0
1,for-loop-index,cn16_cs32,1
2,for-loop-index,cn1_cs512,0
3,for-loop-index,cn256_cs2,0
4,for-loop-index,cn2_cs256,1
5,for-loop-index,cn32_cs16,1
6,for-loop-index,cn4_cs128,2
7,for-loop-index,cn64_cs8,0
8,for-loop-index,cn8_cs64,0
9,median,cn128_cs4,0
10,median,cn16_cs32,0
11,median,cn1_cs512,1
12,median,cn256_cs2,0
13,median,cn2_cs256,3
14,median,cn32_cs16,0
15,median,cn4_cs128,0
16,median,cn64_cs8,0
17,median,cn8_cs64,2
18,small-or-large,cn128_cs4,0
19,small-or-large,cn16_cs32,0
20,small-or-large,cn1_cs512,0
21,small-or-large,cn256_cs2,0
22,small-or-large,cn2_cs256,0
23,small-or-large,cn32_cs16,0
24,small-or-large,cn4_cs128,0
25,small-or-large,cn64_cs8,0
26,small-or-large,cn8_cs64,0
27,smallest,cn128_cs4,0
28,smallest,cn16_cs32,1
29,smallest,cn1_cs512,0
30,smallest,cn256_cs2,0
31,smallest,cn2_cs256,4
32,smallest,cn32_cs16,1
33,smallest,cn4_cs128,4
34,smallest,cn64_cs8,0
35,smallest,cn8_cs64,2
