,problem,dims,count
0,compare-string-lengths,cn128_cs4,0
1,compare-string-lengths,cn16_cs32,50
2,compare-string-lengths,cn1_cs512,29
3,compare-string-lengths,cn256_cs2,0
4,compare-string-lengths,cn2_cs256,45
5,compare-string-lengths,cn32_cs16,41
6,compare-string-lengths,cn4_cs128,46
7,compare-string-lengths,cn64_cs8,2
8,compare-string-lengths,cn8_cs64,49
9,for-loop-index,cn128_cs4,33
10,for-loop-index,cn16_cs32,29
11,for-loop-index,cn1_cs512,0
12,for-loop-index,cn256_cs2,36
13,for-loop-index,cn2_cs256,21
14,for-loop-index,cn32_cs16,29
15,for-loop-index,cn4_cs128,17
16,for-loop-index,cn64_cs8,26
17,for-loop-index,cn8_cs64,27
18,median,cn128_cs4,0
19,median,cn16_cs32,39
20,median,cn1_cs512,25
21,median,cn256_cs2,0
22,median,cn2_cs256,35
23,median,cn32_cs16,41
24,median,cn4_cs128,41
25,median,cn64_cs8,27
26,median,cn8_cs64,38
27,small-or-large,cn128_cs4,0
28,small-or-large,cn16_cs32,5
29,small-or-large,cn1_cs512,2
30,small-or-large,cn256_cs2,0
31,small-or-large,cn2_cs256,2
32,small-or-large,cn32_cs16,0
33,small-or-large,cn4_cs128,10
34,small-or-large,cn64_cs8,0
35,small-or-large,cn8_cs64,10
36,smallest,cn128_cs4,37
37,smallest,cn16_cs32,47
38,smallest,cn1_cs512,28
39,smallest,cn256_cs2,0
40,smallest,cn2_cs256,39
41,smallest,cn32_cs16,46
42,smallest,cn4_cs128,45
43,smallest,cn64_cs8,43
44,smallest,cn8_cs64,44
