,problem,dims,count
0,compare-string-lengths,cn128_cs4,1
1,compare-string-lengths,cn16_cs32,21
2,compare-string-lengths,cn256_cs2,0
3,compare-string-lengths,cn2_cs256,25
4,compare-string-lengths,cn32_cs16,20
5,compare-string-lengths,cn4_cs128,31
6,compare-string-lengths,cn64_cs8,10
7,compare-string-lengths,cn8_cs64,24
8,median,cn128_cs4,0
9,median,cn16_cs32,20
10,median,cn256_cs2,0
11,median,cn2_cs256,33
12,median,cn32_cs16,6
13,median,cn4_cs128,21
14,median,cn64_cs8,9
15,median,cn8_cs64,15
16,small-or-large,cn128_cs4,0
17,small-or-large,cn16_cs32,3
18,small-or-large,cn256_cs2,0
19,small-or-large,cn2_cs256,3
20,small-or-large,cn32_cs16,0
21,small-or-large,cn4_cs128,0
22,small-or-large,cn64_cs8,0
23,small-or-large,cn8_cs64,3
24,smallest,cn128_cs4,6
25,smallest,cn16_cs32,15
26,smallest,cn256_cs2,2
27,smallest,cn2_cs256,29
28,smallest,cn32_cs16,12
29,smallest,cn4_cs128,20
30,smallest,cn64_cs8,7
31,smallest,cn8_cs64,16
0,compare-string-lengths,cn1_cs512,29
1,median,cn1_cs512,25
2,small-or-large,cn1_cs512,2
3,smallest,cn1_cs512,28
