,problem,dims,count
0,compare-string-lengths,cn128_cs4,0
1,compare-string-lengths,cn16_cs32,11
2,compare-string-lengths,cn1_cs512,29
3,compare-string-lengths,cn256_cs2,0
4,compare-string-lengths,cn2_cs256,26
5,compare-string-lengths,cn32_cs16,0
6,compare-string-lengths,cn4_cs128,22
7,compare-string-lengths,cn64_cs8,0
8,compare-string-lengths,cn8_cs64,19
9,for-loop-index,cn128_cs4,2
10,for-loop-index,cn16_cs32,4
11,for-loop-index,cn1_cs512,15
12,for-loop-index,cn256_cs2,0
13,for-loop-index,cn2_cs256,14
14,for-loop-index,cn32_cs16,4
15,for-loop-index,cn4_cs128,13
16,for-loop-index,cn64_cs8,1
17,for-loop-index,cn8_cs64,9
18,median,cn128_cs4,0
19,median,cn16_cs32,10
20,median,cn1_cs512,25
21,median,cn256_cs2,0
22,median,cn2_cs256,27
23,median,cn32_cs16,6
24,median,cn4_cs128,21
25,median,cn64_cs8,1
26,median,cn8_cs64,14
27,small-or-large,cn128_cs4,0
28,small-or-large,cn16_cs32,0
29,small-or-large,cn1_cs512,2
30,small-or-large,cn256_cs2,0
31,small-or-large,cn2_cs256,1
32,small-or-large,cn32_cs16,0
33,small-or-large,cn4_cs128,0
34,small-or-large,cn64_cs8,0
35,small-or-large,cn8_cs64,0
36,smallest,cn128_cs4,0
37,smallest,cn16_cs32,11
38,smallest,cn1_cs512,28
39,smallest,cn256_cs2,0
40,smallest,cn2_cs256,24
41,smallest,cn32_cs16,10
42,smallest,cn4_cs128,25
43,smallest,cn64_cs8,0
44,smallest,cn8_cs64,14
