,problem,dims,count
0,compare-string-lengths,cn128_cs4,18
1,compare-string-lengths,cn16_cs32,35
2,compare-string-lengths,cn256_cs2,9
3,compare-string-lengths,cn2_cs256,36
4,compare-string-lengths,cn32_cs16,24
5,compare-string-lengths,cn4_cs128,31
6,compare-string-lengths,cn64_cs8,23
7,compare-string-lengths,cn8_cs64,36
8,median,cn128_cs4,22
9,median,cn16_cs32,27
10,median,cn256_cs2,4
11,median,cn2_cs256,29
12,median,cn32_cs16,25
13,median,cn4_cs128,25
14,median,cn64_cs8,28
15,median,cn8_cs64,31
16,small-or-large,cn128_cs4,0
17,small-or-large,cn16_cs32,2
18,small-or-large,cn256_cs2,0
19,small-or-large,cn2_cs256,2
20,small-or-large,cn32_cs16,0
21,small-or-large,cn4_cs128,1
22,small-or-large,cn64_cs8,0
23,small-or-large,cn8_cs64,1
24,smallest,cn128_cs4,13
25,smallest,cn16_cs32,28
26,smallest,cn256_cs2,2
27,smallest,cn2_cs256,29
28,smallest,cn32_cs16,28
29,smallest,cn4_cs128,25
30,smallest,cn64_cs8,19
31,smallest,cn8_cs64,27
0,compare-string-lengths,cn1_cs512,29
1,median,cn1_cs512,25
2,small-or-large,cn1_cs512,2
3,smallest,cn1_cs512,28
