,dims,gens
0,cn16_cs32,233
1,cn16_cs32,295
2,cn16_cs32,180
3,cn16_cs32,165
4,cn16_cs32,108
5,cn16_cs32,120
6,cn16_cs32,37
7,cn16_cs32,205
8,cn16_cs32,188
9,cn16_cs32,106
10,cn16_cs32,206
11,cn1_cs512,199
12,cn1_cs512,268
13,cn1_cs512,241
14,cn1_cs512,114
15,cn1_cs512,254
16,cn1_cs512,244
17,cn1_cs512,165
18,cn1_cs512,183
19,cn1_cs512,181
20,cn1_cs512,112
21,cn1_cs512,128
22,cn1_cs512,221
23,cn1_cs512,271
24,cn1_cs512,227
25,cn1_cs512,285
26,cn1_cs512,77
27,cn1_cs512,95
28,cn1_cs512,163
29,cn1_cs512,237
30,cn1_cs512,215
31,cn1_cs512,68
32,cn1_cs512,114
33,cn1_cs512,201
34,cn1_cs512,257
35,cn1_cs512,93
36,cn1_cs512,145
37,cn1_cs512,139
38,cn1_cs512,104
39,cn1_cs512,69
40,cn2_cs256,103
41,cn2_cs256,279
42,cn2_cs256,108
43,cn2_cs256,140
44,cn2_cs256,93
45,cn2_cs256,103
46,cn2_cs256,197
47,cn2_cs256,168
48,cn2_cs256,143
49,cn2_cs256,96
50,cn2_cs256,260
51,cn2_cs256,233
52,cn2_cs256,256
53,cn2_cs256,252
54,cn2_cs256,81
55,cn2_cs256,270
56,cn2_cs256,171
57,cn2_cs256,193
58,cn2_cs256,86
59,cn2_cs256,146
60,cn2_cs256,202
61,cn2_cs256,98
62,cn2_cs256,169
63,cn2_cs256,144
64,cn2_cs256,192
65,cn2_cs256,164
66,cn4_cs128,137
67,cn4_cs128,262
68,cn4_cs128,171
69,cn4_cs128,146
70,cn4_cs128,216
71,cn4_cs128,175
72,cn4_cs128,116
73,cn4_cs128,256
74,cn4_cs128,166
75,cn4_cs128,128
76,cn4_cs128,258
77,cn4_cs128,248
78,cn4_cs128,211
79,cn4_cs128,226
80,cn4_cs128,226
81,cn4_cs128,56
82,cn4_cs128,208
83,cn4_cs128,124
84,cn4_cs128,179
85,cn4_cs128,65
86,cn4_cs128,229
87,cn4_cs128,233
88,cn8_cs64,128
89,cn8_cs64,207
90,cn8_cs64,298
91,cn8_cs64,186
92,cn8_cs64,117
93,cn8_cs64,153
94,cn8_cs64,296
95,cn8_cs64,120
96,cn8_cs64,193
97,cn8_cs64,172
98,cn8_cs64,216
99,cn8_cs64,28
100,cn8_cs64,244
101,cn8_cs64,283
102,cn8_cs64,109
103,cn8_cs64,199
104,cn8_cs64,134
105,cn8_cs64,149
106,cn8_cs64,229
