,dims,gens
0,cn128_cs4,163
1,cn16_cs32,52
2,cn16_cs32,104
3,cn16_cs32,211
4,cn16_cs32,80
5,cn16_cs32,101
6,cn16_cs32,282
7,cn16_cs32,213
8,cn16_cs32,195
9,cn16_cs32,174
10,cn16_cs32,227
11,cn16_cs32,78
12,cn16_cs32,260
13,cn16_cs32,99
14,cn16_cs32,151
15,cn16_cs32,74
16,cn16_cs32,210
17,cn16_cs32,230
18,cn16_cs32,274
19,cn16_cs32,146
20,cn16_cs32,117
21,cn16_cs32,117
22,cn2_cs256,134
23,cn2_cs256,98
24,cn2_cs256,81
25,cn2_cs256,201
26,cn2_cs256,180
27,cn2_cs256,238
28,cn2_cs256,187
29,cn2_cs256,223
30,cn2_cs256,181
31,cn2_cs256,210
32,cn2_cs256,41
33,cn2_cs256,184
34,cn2_cs256,153
35,cn2_cs256,147
36,cn2_cs256,233
37,cn2_cs256,123
38,cn2_cs256,231
39,cn2_cs256,73
40,cn2_cs256,267
41,cn2_cs256,90
42,cn2_cs256,204
43,cn2_cs256,195
44,cn2_cs256,188
45,cn2_cs256,227
46,cn2_cs256,285
47,cn32_cs16,223
48,cn32_cs16,266
49,cn32_cs16,274
50,cn32_cs16,208
51,cn32_cs16,234
52,cn32_cs16,297
53,cn32_cs16,180
54,cn32_cs16,151
55,cn32_cs16,271
56,cn32_cs16,83
57,cn32_cs16,184
58,cn32_cs16,54
59,cn32_cs16,260
60,cn32_cs16,100
61,cn32_cs16,36
62,cn32_cs16,155
63,cn32_cs16,67
64,cn32_cs16,274
65,cn32_cs16,128
66,cn32_cs16,158
67,cn4_cs128,61
68,cn4_cs128,152
69,cn4_cs128,163
70,cn4_cs128,271
71,cn4_cs128,96
72,cn4_cs128,240
73,cn4_cs128,275
74,cn4_cs128,136
75,cn4_cs128,195
76,cn4_cs128,102
77,cn4_cs128,195
78,cn4_cs128,204
79,cn4_cs128,78
80,cn4_cs128,128
81,cn4_cs128,287
82,cn4_cs128,153
83,cn4_cs128,164
84,cn4_cs128,190
85,cn4_cs128,77
86,cn4_cs128,249
87,cn4_cs128,245
88,cn4_cs128,240
89,cn4_cs128,284
90,cn4_cs128,287
91,cn4_cs128,216
92,cn4_cs128,161
93,cn4_cs128,114
94,cn4_cs128,278
95,cn4_cs128,285
96,cn4_cs128,124
97,cn4_cs128,117
98,cn64_cs8,59
99,cn64_cs8,233
100,cn64_cs8,279
101,cn64_cs8,294
102,cn64_cs8,194
103,cn64_cs8,273
104,cn64_cs8,121
105,cn64_cs8,112
106,cn64_cs8,285
107,cn64_cs8,261
108,cn8_cs64,114
109,cn8_cs64,86
110,cn8_cs64,281
111,cn8_cs64,262
112,cn8_cs64,231
113,cn8_cs64,106
114,cn8_cs64,133
115,cn8_cs64,291
116,cn8_cs64,105
117,cn8_cs64,283
118,cn8_cs64,281
119,cn8_cs64,84
120,cn8_cs64,151
121,cn8_cs64,300
122,cn8_cs64,241
123,cn8_cs64,114
124,cn8_cs64,245
125,cn8_cs64,77
126,cn8_cs64,218
127,cn8_cs64,226
128,cn8_cs64,202
129,cn8_cs64,97
130,cn8_cs64,207
131,cn8_cs64,93
0,cn1_cs512,199
1,cn1_cs512,268
2,cn1_cs512,241
3,cn1_cs512,114
4,cn1_cs512,254
5,cn1_cs512,244
6,cn1_cs512,165
7,cn1_cs512,183
8,cn1_cs512,181
9,cn1_cs512,112
10,cn1_cs512,128
11,cn1_cs512,221
12,cn1_cs512,271
13,cn1_cs512,227
14,cn1_cs512,285
15,cn1_cs512,77
16,cn1_cs512,95
17,cn1_cs512,163
18,cn1_cs512,237
19,cn1_cs512,215
20,cn1_cs512,68
21,cn1_cs512,114
22,cn1_cs512,201
23,cn1_cs512,257
24,cn1_cs512,93
25,cn1_cs512,145
26,cn1_cs512,139
27,cn1_cs512,104
28,cn1_cs512,69
