,dims,gens
0,cn128_cs4,284
1,cn16_cs32,289
2,cn16_cs32,260
3,cn16_cs32,99
4,cn16_cs32,129
5,cn16_cs32,175
6,cn2_cs256,221
7,cn2_cs256,169
8,cn2_cs256,91
9,cn2_cs256,188
10,cn2_cs256,156
11,cn2_cs256,296
12,cn2_cs256,110
13,cn2_cs256,295
14,cn2_cs256,147
15,cn2_cs256,152
16,cn2_cs256,220
17,cn2_cs256,103
18,cn32_cs16,146
19,cn32_cs16,98
20,cn32_cs16,247
21,cn4_cs128,95
22,cn4_cs128,148
23,cn4_cs128,43
24,cn4_cs128,290
25,cn4_cs128,139
26,cn4_cs128,142
27,cn64_cs8,258
28,cn64_cs8,205
29,cn64_cs8,209
30,cn8_cs64,259
31,cn8_cs64,204
32,cn8_cs64,232
33,cn8_cs64,131
34,cn8_cs64,166
35,cn8_cs64,145
36,cn8_cs64,260
37,cn8_cs64,211
38,cn8_cs64,153
39,cn8_cs64,117
40,cn8_cs64,154
41,cn8_cs64,199
