,dims,gens
0,cn128_cs4,294
1,cn128_cs4,266
2,cn16_cs32,122
3,cn16_cs32,172
4,cn16_cs32,219
5,cn16_cs32,48
6,cn16_cs32,168
7,cn16_cs32,151
8,cn16_cs32,89
9,cn16_cs32,160
10,cn16_cs32,235
11,cn16_cs32,276
12,cn256_cs2,289
13,cn256_cs2,99
14,cn2_cs256,76
15,cn2_cs256,193
16,cn2_cs256,96
17,cn2_cs256,194
18,cn2_cs256,261
19,cn2_cs256,120
20,cn2_cs256,236
21,cn2_cs256,95
22,cn2_cs256,104
23,cn2_cs256,170
24,cn32_cs16,177
25,cn32_cs16,232
26,cn32_cs16,131
27,cn32_cs16,226
28,cn32_cs16,120
29,cn32_cs16,269
30,cn32_cs16,237
31,cn32_cs16,229
32,cn32_cs16,198
33,cn4_cs128,165
34,cn4_cs128,65
35,cn4_cs128,153
36,cn4_cs128,284
37,cn4_cs128,144
38,cn4_cs128,192
39,cn4_cs128,281
40,cn4_cs128,182
41,cn4_cs128,118
42,cn4_cs128,157
43,cn4_cs128,79
44,cn4_cs128,125
45,cn64_cs8,200
46,cn64_cs8,198
47,cn64_cs8,273
48,cn64_cs8,241
49,cn8_cs64,188
50,cn8_cs64,149
51,cn8_cs64,240
52,cn8_cs64,162
53,cn8_cs64,101
54,cn8_cs64,250
55,cn8_cs64,127
56,cn8_cs64,260
57,cn8_cs64,134
58,cn8_cs64,261
