,dims,gens
0,cn128_cs4,85
1,cn128_cs4,247
2,cn128_cs4,63
3,cn128_cs4,153
4,cn128_cs4,74
5,cn128_cs4,138
6,cn128_cs4,289
7,cn128_cs4,178
8,cn128_cs4,129
9,cn128_cs4,218
10,cn128_cs4,117
11,cn128_cs4,146
12,cn128_cs4,99
13,cn16_cs32,136
14,cn16_cs32,251
15,cn16_cs32,129
16,cn16_cs32,180
17,cn16_cs32,192
18,cn16_cs32,171
19,cn16_cs32,199
20,cn16_cs32,162
21,cn16_cs32,298
22,cn16_cs32,146
23,cn16_cs32,224
24,cn16_cs32,117
25,cn16_cs32,78
26,cn16_cs32,144
27,cn16_cs32,217
28,cn16_cs32,73
29,cn256_cs2,257
30,cn256_cs2,171
31,cn256_cs2,197
32,cn256_cs2,151
33,cn256_cs2,153
34,cn256_cs2,208
35,cn256_cs2,195
36,cn2_cs256,140
37,cn2_cs256,71
38,cn2_cs256,291
39,cn2_cs256,158
40,cn2_cs256,220
41,cn2_cs256,164
42,cn2_cs256,274
43,cn2_cs256,169
44,cn2_cs256,198
45,cn2_cs256,151
46,cn2_cs256,133
47,cn2_cs256,295
48,cn2_cs256,114
49,cn2_cs256,129
50,cn2_cs256,207
51,cn2_cs256,82
52,cn2_cs256,104
53,cn2_cs256,230
54,cn32_cs16,136
55,cn32_cs16,78
56,cn32_cs16,232
57,cn32_cs16,173
58,cn32_cs16,207
59,cn32_cs16,95
60,cn32_cs16,160
61,cn32_cs16,84
62,cn32_cs16,157
63,cn32_cs16,61
64,cn32_cs16,107
65,cn4_cs128,200
66,cn4_cs128,171
67,cn4_cs128,71
68,cn4_cs128,166
69,cn4_cs128,161
70,cn4_cs128,243
71,cn4_cs128,146
72,cn4_cs128,107
73,cn4_cs128,84
74,cn4_cs128,154
75,cn4_cs128,291
76,cn64_cs8,79
77,cn64_cs8,211
78,cn64_cs8,120
79,cn64_cs8,202
80,cn64_cs8,178
81,cn64_cs8,191
82,cn64_cs8,80
83,cn64_cs8,125
84,cn64_cs8,79
85,cn64_cs8,56
86,cn64_cs8,92
87,cn64_cs8,223
88,cn64_cs8,137
89,cn8_cs64,161
90,cn8_cs64,224
91,cn8_cs64,137
92,cn8_cs64,264
93,cn8_cs64,210
94,cn8_cs64,101
95,cn8_cs64,216
96,cn8_cs64,92
97,cn8_cs64,158
98,cn8_cs64,144
99,cn8_cs64,127
