,dims,gens
0,cn16_cs32,297
1,cn16_cs32,216
2,cn16_cs32,198
3,cn16_cs32,151
4,cn16_cs32,163
5,cn16_cs32,294
6,cn16_cs32,298
7,cn16_cs32,194
8,cn16_cs32,291
9,cn16_cs32,181
10,cn1_cs512,279
11,cn1_cs512,183
12,cn1_cs512,243
13,cn1_cs512,231
14,cn1_cs512,269
15,cn1_cs512,280
16,cn1_cs512,162
17,cn1_cs512,160
18,cn1_cs512,89
19,cn1_cs512,227
20,cn1_cs512,269
21,cn1_cs512,221
22,cn1_cs512,196
23,cn1_cs512,118
24,cn1_cs512,162
25,cn1_cs512,246
26,cn1_cs512,126
27,cn1_cs512,131
28,cn1_cs512,244
29,cn1_cs512,139
30,cn1_cs512,246
31,cn1_cs512,133
32,cn1_cs512,173
33,cn1_cs512,156
34,cn1_cs512,300
35,cn2_cs256,183
36,cn2_cs256,170
37,cn2_cs256,214
38,cn2_cs256,141
39,cn2_cs256,180
40,cn2_cs256,204
41,cn2_cs256,273
42,cn2_cs256,231
43,cn2_cs256,207
44,cn2_cs256,273
45,cn2_cs256,76
46,cn2_cs256,177
47,cn2_cs256,209
48,cn2_cs256,199
49,cn2_cs256,161
50,cn2_cs256,86
51,cn2_cs256,126
52,cn2_cs256,148
53,cn2_cs256,138
54,cn2_cs256,102
55,cn2_cs256,109
56,cn2_cs256,231
57,cn2_cs256,93
58,cn2_cs256,121
59,cn2_cs256,158
60,cn2_cs256,157
61,cn2_cs256,113
62,cn32_cs16,153
63,cn32_cs16,196
64,cn32_cs16,249
65,cn32_cs16,200
66,cn32_cs16,227
67,cn32_cs16,169
68,cn4_cs128,299
69,cn4_cs128,257
70,cn4_cs128,102
71,cn4_cs128,171
72,cn4_cs128,141
73,cn4_cs128,144
74,cn4_cs128,131
75,cn4_cs128,176
76,cn4_cs128,286
77,cn4_cs128,195
78,cn4_cs128,220
79,cn4_cs128,288
80,cn4_cs128,244
81,cn4_cs128,245
82,cn4_cs128,214
83,cn4_cs128,185
84,cn4_cs128,200
85,cn4_cs128,238
86,cn4_cs128,255
87,cn4_cs128,191
88,cn4_cs128,289
89,cn64_cs8,287
90,cn8_cs64,213
91,cn8_cs64,79
92,cn8_cs64,211
93,cn8_cs64,262
94,cn8_cs64,192
95,cn8_cs64,278
96,cn8_cs64,241
97,cn8_cs64,90
98,cn8_cs64,225
99,cn8_cs64,182
100,cn8_cs64,283
101,cn8_cs64,266
102,cn8_cs64,154
103,cn8_cs64,255
