,dims,gens
0,cn16_cs32,209
1,cn16_cs32,249
2,cn16_cs32,167
3,cn16_cs32,177
4,cn16_cs32,190
5,cn16_cs32,184
6,cn16_cs32,171
7,cn16_cs32,229
8,cn16_cs32,152
9,cn16_cs32,295
10,cn16_cs32,186
11,cn16_cs32,281
12,cn16_cs32,249
13,cn16_cs32,133
14,cn16_cs32,138
15,cn16_cs32,217
16,cn16_cs32,118
17,cn16_cs32,118
18,cn16_cs32,298
19,cn16_cs32,223
20,cn2_cs256,141
21,cn2_cs256,234
22,cn2_cs256,292
23,cn2_cs256,193
24,cn2_cs256,133
25,cn2_cs256,167
26,cn2_cs256,179
27,cn2_cs256,153
28,cn2_cs256,149
29,cn2_cs256,231
30,cn2_cs256,109
31,cn2_cs256,229
32,cn2_cs256,274
33,cn2_cs256,242
34,cn2_cs256,269
35,cn2_cs256,257
36,cn2_cs256,160
37,cn2_cs256,131
38,cn2_cs256,162
39,cn2_cs256,164
40,cn2_cs256,142
41,cn2_cs256,210
42,cn2_cs256,140
43,cn2_cs256,212
44,cn2_cs256,300
45,cn2_cs256,62
46,cn2_cs256,184
47,cn2_cs256,158
48,cn2_cs256,190
49,cn2_cs256,207
50,cn2_cs256,221
51,cn2_cs256,183
52,cn2_cs256,220
53,cn32_cs16,139
54,cn32_cs16,210
55,cn32_cs16,199
56,cn32_cs16,110
57,cn32_cs16,279
58,cn32_cs16,297
59,cn4_cs128,129
60,cn4_cs128,296
61,cn4_cs128,229
62,cn4_cs128,217
63,cn4_cs128,234
64,cn4_cs128,271
65,cn4_cs128,270
66,cn4_cs128,218
67,cn4_cs128,266
68,cn4_cs128,106
69,cn4_cs128,185
70,cn4_cs128,279
71,cn4_cs128,257
72,cn4_cs128,239
73,cn4_cs128,175
74,cn4_cs128,213
75,cn4_cs128,148
76,cn4_cs128,92
77,cn4_cs128,268
78,cn4_cs128,147
79,cn4_cs128,265
80,cn64_cs8,160
81,cn64_cs8,243
82,cn64_cs8,224
83,cn64_cs8,243
84,cn64_cs8,102
85,cn64_cs8,280
86,cn64_cs8,127
87,cn64_cs8,197
88,cn64_cs8,249
89,cn8_cs64,291
90,cn8_cs64,219
91,cn8_cs64,138
92,cn8_cs64,241
93,cn8_cs64,224
94,cn8_cs64,242
95,cn8_cs64,233
96,cn8_cs64,229
97,cn8_cs64,210
98,cn8_cs64,154
99,cn8_cs64,109
100,cn8_cs64,229
101,cn8_cs64,92
102,cn8_cs64,133
103,cn8_cs64,184
