,dims,gens
0,cn16_cs32,295
1,cn16_cs32,115
2,cn16_cs32,189
3,cn16_cs32,176
4,cn16_cs32,135
5,cn16_cs32,168
6,cn16_cs32,271
7,cn16_cs32,144
8,cn16_cs32,89
9,cn16_cs32,243
10,cn16_cs32,278
11,cn1_cs512,172
12,cn1_cs512,109
13,cn1_cs512,243
14,cn1_cs512,120
15,cn1_cs512,102
16,cn1_cs512,231
17,cn1_cs512,245
18,cn1_cs512,121
19,cn1_cs512,169
20,cn1_cs512,219
21,cn1_cs512,209
22,cn1_cs512,180
23,cn1_cs512,184
24,cn1_cs512,280
25,cn1_cs512,267
26,cn1_cs512,282
27,cn1_cs512,257
28,cn1_cs512,152
29,cn1_cs512,244
30,cn1_cs512,135
31,cn1_cs512,170
32,cn1_cs512,171
33,cn1_cs512,226
34,cn1_cs512,252
35,cn1_cs512,244
36,cn1_cs512,101
37,cn1_cs512,229
38,cn1_cs512,154
39,cn2_cs256,178
40,cn2_cs256,183
41,cn2_cs256,232
42,cn2_cs256,142
43,cn2_cs256,287
44,cn2_cs256,264
45,cn2_cs256,60
46,cn2_cs256,189
47,cn2_cs256,164
48,cn2_cs256,166
49,cn2_cs256,252
50,cn2_cs256,146
51,cn2_cs256,78
52,cn2_cs256,199
53,cn2_cs256,275
54,cn2_cs256,122
55,cn2_cs256,61
56,cn2_cs256,203
57,cn2_cs256,96
58,cn2_cs256,122
59,cn2_cs256,209
60,cn2_cs256,170
61,cn2_cs256,275
62,cn2_cs256,109
63,cn32_cs16,216
64,cn32_cs16,261
65,cn32_cs16,235
66,cn32_cs16,172
67,cn32_cs16,69
68,cn32_cs16,170
69,cn32_cs16,260
70,cn32_cs16,214
71,cn32_cs16,286
72,cn32_cs16,192
73,cn4_cs128,298
74,cn4_cs128,224
75,cn4_cs128,97
76,cn4_cs128,208
77,cn4_cs128,261
78,cn4_cs128,98
79,cn4_cs128,251
80,cn4_cs128,79
81,cn4_cs128,191
82,cn4_cs128,240
83,cn4_cs128,218
84,cn4_cs128,134
85,cn4_cs128,191
86,cn4_cs128,190
87,cn4_cs128,273
88,cn4_cs128,234
89,cn4_cs128,216
90,cn4_cs128,218
91,cn4_cs128,228
92,cn4_cs128,199
93,cn4_cs128,245
94,cn4_cs128,273
95,cn4_cs128,85
96,cn4_cs128,163
97,cn4_cs128,173
98,cn8_cs64,258
99,cn8_cs64,224
100,cn8_cs64,52
101,cn8_cs64,236
102,cn8_cs64,291
103,cn8_cs64,53
104,cn8_cs64,221
105,cn8_cs64,188
106,cn8_cs64,179
107,cn8_cs64,285
108,cn8_cs64,268
109,cn8_cs64,244
110,cn8_cs64,181
111,cn8_cs64,293
