,dims,gens
0,cn128_cs4,218
1,cn128_cs4,256
2,cn128_cs4,228
3,cn128_cs4,246
4,cn128_cs4,249
5,cn128_cs4,279
6,cn16_cs32,213
7,cn16_cs32,267
8,cn16_cs32,151
9,cn16_cs32,272
10,cn16_cs32,182
11,cn16_cs32,243
12,cn16_cs32,123
13,cn16_cs32,220
14,cn16_cs32,166
15,cn16_cs32,168
16,cn16_cs32,99
17,cn16_cs32,197
18,cn16_cs32,243
19,cn16_cs32,290
20,cn16_cs32,194
21,cn256_cs2,124
22,cn256_cs2,290
23,cn2_cs256,193
24,cn2_cs256,153
25,cn2_cs256,220
26,cn2_cs256,153
27,cn2_cs256,268
28,cn2_cs256,77
29,cn2_cs256,199
30,cn2_cs256,176
31,cn2_cs256,227
32,cn2_cs256,168
33,cn2_cs256,140
34,cn2_cs256,149
35,cn2_cs256,149
36,cn2_cs256,149
37,cn2_cs256,240
38,cn2_cs256,292
39,cn2_cs256,190
40,cn2_cs256,118
41,cn2_cs256,31
42,cn2_cs256,209
43,cn2_cs256,286
44,cn2_cs256,215
45,cn2_cs256,194
46,cn2_cs256,197
47,cn2_cs256,238
48,cn2_cs256,251
49,cn2_cs256,221
50,cn2_cs256,193
51,cn2_cs256,241
52,cn32_cs16,157
53,cn32_cs16,278
54,cn32_cs16,254
55,cn32_cs16,176
56,cn32_cs16,168
57,cn32_cs16,122
58,cn32_cs16,215
59,cn32_cs16,173
60,cn32_cs16,268
61,cn32_cs16,170
62,cn32_cs16,247
63,cn32_cs16,50
64,cn4_cs128,133
65,cn4_cs128,109
66,cn4_cs128,211
67,cn4_cs128,286
68,cn4_cs128,113
69,cn4_cs128,264
70,cn4_cs128,258
71,cn4_cs128,290
72,cn4_cs128,222
73,cn4_cs128,174
74,cn4_cs128,119
75,cn4_cs128,140
76,cn4_cs128,274
77,cn4_cs128,243
78,cn4_cs128,297
79,cn4_cs128,109
80,cn4_cs128,221
81,cn4_cs128,241
82,cn4_cs128,240
83,cn4_cs128,119
84,cn64_cs8,217
85,cn64_cs8,247
86,cn64_cs8,264
87,cn64_cs8,170
88,cn64_cs8,240
89,cn64_cs8,166
90,cn64_cs8,238
91,cn8_cs64,130
92,cn8_cs64,193
93,cn8_cs64,238
94,cn8_cs64,99
95,cn8_cs64,95
96,cn8_cs64,203
97,cn8_cs64,141
98,cn8_cs64,119
99,cn8_cs64,289
100,cn8_cs64,123
101,cn8_cs64,247
102,cn8_cs64,158
103,cn8_cs64,231
104,cn8_cs64,191
105,cn8_cs64,64
106,cn8_cs64,293
0,cn1_cs512,172
1,cn1_cs512,109
2,cn1_cs512,243
3,cn1_cs512,120
4,cn1_cs512,102
5,cn1_cs512,231
6,cn1_cs512,245
7,cn1_cs512,121
8,cn1_cs512,169
9,cn1_cs512,219
10,cn1_cs512,209
11,cn1_cs512,180
12,cn1_cs512,184
13,cn1_cs512,280
14,cn1_cs512,267
15,cn1_cs512,282
16,cn1_cs512,257
17,cn1_cs512,152
18,cn1_cs512,244
19,cn1_cs512,135
20,cn1_cs512,170
21,cn1_cs512,171
22,cn1_cs512,226
23,cn1_cs512,252
24,cn1_cs512,244
25,cn1_cs512,101
26,cn1_cs512,229
27,cn1_cs512,154
