,problem,selection,count
0,for-loop-index,Down Sample,26
1,for-loop-index,Truncated,3
2,for-loop-index,Prog-Only Cohort,2
3,for-loop-index,Cohort-Lexicase,24
4,for-loop-index,Lexicase,3
5,smallest,Prog-Only Cohort,44
6,smallest,Cohort-Lexicase,45
7,smallest,Truncated,43
8,smallest,Down Sample,48
9,smallest,Lexicase,43
10,small-or-large,Truncated,18
11,small-or-large,Prog-Only Cohort,14
12,small-or-large,Cohort-Lexicase,9
13,small-or-large,Down Sample,10
14,small-or-large,Lexicase,15
15,median,Cohort-Lexicase,38
16,median,Prog-Only Cohort,45
17,median,Truncated,39
18,median,Down Sample,43
19,median,Lexicase,41
