,problem,dims,count
0,median,cn128_cs4,2
1,median,cn16_cs32,44
2,median,cn1_cs512,41
3,median,cn32_cs16,43
4,median,cn256_cs2,0
5,median,cn8_cs64,45
6,median,cn64_cs8,32
7,median,cn4_cs128,42
8,median,cn2_cs256,40
9,small-or-large,cn16_cs32,18
10,small-or-large,cn64_cs8,0
11,small-or-large,cn128_cs4,0
12,small-or-large,cn2_cs256,24
13,small-or-large,cn32_cs16,1
14,small-or-large,cn8_cs64,24
15,small-or-large,cn4_cs128,22
16,small-or-large,cn1_cs512,15
17,small-or-large,cn256_cs2,0
18,smallest,cn2_cs256,45
19,smallest,cn1_cs512,43
20,smallest,cn32_cs16,49
21,smallest,cn16_cs32,48
22,smallest,cn128_cs4,46
23,smallest,cn8_cs64,47
24,smallest,cn256_cs2,1
25,smallest,cn64_cs8,46
26,smallest,cn4_cs128,47
