,problem,dims,count
0,median,cn128_cs4,0
1,median,cn16_cs32,32
2,median,cn1_cs512,41
3,median,cn32_cs16,24
4,median,cn256_cs2,0
5,median,cn8_cs64,36
6,median,cn64_cs8,4
7,median,cn4_cs128,39
8,median,cn2_cs256,38
9,small-or-large,cn16_cs32,1
10,small-or-large,cn64_cs8,0
11,small-or-large,cn128_cs4,0
12,small-or-large,cn2_cs256,9
13,small-or-large,cn32_cs16,0
14,small-or-large,cn8_cs64,3
15,small-or-large,cn4_cs128,6
16,small-or-large,cn1_cs512,15
17,small-or-large,cn256_cs2,0
18,smallest,cn2_cs256,45
19,smallest,cn1_cs512,43
20,smallest,cn32_cs16,31
21,smallest,cn16_cs32,38
22,smallest,cn128_cs4,4
23,smallest,cn8_cs64,34
24,smallest,cn256_cs2,0
25,smallest,cn64_cs8,12
26,smallest,cn4_cs128,43
