,problem,dims,count
0,compare-string-lengths,cn128_cs4,0
1,compare-string-lengths,cn16_cs32,50
2,compare-string-lengths,cn1_cs512,50
3,compare-string-lengths,cn256_cs2,0
4,compare-string-lengths,cn2_cs256,50
5,compare-string-lengths,cn32_cs16,48
6,compare-string-lengths,cn4_cs128,50
7,compare-string-lengths,cn64_cs8,10
8,compare-string-lengths,cn8_cs64,50
9,median,cn128_cs4,2
10,median,cn16_cs32,44
11,median,cn1_cs512,41
12,median,cn256_cs2,0
13,median,cn2_cs256,40
14,median,cn32_cs16,43
15,median,cn4_cs128,42
16,median,cn64_cs8,32
17,median,cn8_cs64,45
18,small-or-large,cn128_cs4,0
19,small-or-large,cn16_cs32,18
20,small-or-large,cn1_cs512,15
21,small-or-large,cn256_cs2,0
22,small-or-large,cn2_cs256,24
23,small-or-large,cn32_cs16,1
24,small-or-large,cn4_cs128,22
25,small-or-large,cn64_cs8,0
26,small-or-large,cn8_cs64,24
27,smallest,cn128_cs4,46
28,smallest,cn16_cs32,48
29,smallest,cn1_cs512,43
30,smallest,cn256_cs2,1
31,smallest,cn2_cs256,45
32,smallest,cn32_cs16,49
33,smallest,cn4_cs128,47
34,smallest,cn64_cs8,46
35,smallest,cn8_cs64,47
