,problem,dims,count
0,compare-string-lengths,cn128_cs4,8
1,compare-string-lengths,cn16_cs32,46
2,compare-string-lengths,cn256_cs2,0
3,compare-string-lengths,cn2_cs256,50
4,compare-string-lengths,cn32_cs16,40
5,compare-string-lengths,cn4_cs128,48
6,compare-string-lengths,cn64_cs8,29
7,compare-string-lengths,cn8_cs64,44
8,for-loop-index,cn128_cs4,18
9,for-loop-index,cn16_cs32,24
10,for-loop-index,cn256_cs2,17
11,for-loop-index,cn2_cs256,21
12,for-loop-index,cn32_cs16,25
13,for-loop-index,cn4_cs128,22
14,for-loop-index,cn64_cs8,18
15,for-loop-index,cn8_cs64,20
16,median,cn128_cs4,11
17,median,cn16_cs32,38
18,median,cn256_cs2,0
19,median,cn2_cs256,45
20,median,cn32_cs16,30
21,median,cn4_cs128,39
22,median,cn64_cs8,29
23,median,cn8_cs64,34
24,small-or-large,cn128_cs4,1
25,small-or-large,cn16_cs32,7
26,small-or-large,cn256_cs2,1
27,small-or-large,cn2_cs256,14
28,small-or-large,cn32_cs16,2
29,small-or-large,cn4_cs128,13
30,small-or-large,cn64_cs8,1
31,small-or-large,cn8_cs64,17
32,smallest,cn128_cs4,28
33,smallest,cn16_cs32,39
34,smallest,cn256_cs2,16
35,smallest,cn2_cs256,44
36,smallest,cn32_cs16,37
37,smallest,cn4_cs128,45
38,smallest,cn64_cs8,34
39,smallest,cn8_cs64,38
