,problem,dims,count
0,compare-string-lengths,cn128_cs4,0
1,compare-string-lengths,cn16_cs32,34
2,compare-string-lengths,cn1_cs512,50
3,compare-string-lengths,cn256_cs2,0
4,compare-string-lengths,cn2_cs256,49
5,compare-string-lengths,cn32_cs16,11
6,compare-string-lengths,cn4_cs128,44
7,compare-string-lengths,cn64_cs8,0
8,compare-string-lengths,cn8_cs64,43
9,for-loop-index,cn128_cs4,8
10,for-loop-index,cn16_cs32,15
11,for-loop-index,cn1_cs512,25
12,for-loop-index,cn256_cs2,3
13,for-loop-index,cn2_cs256,26
14,for-loop-index,cn32_cs16,20
15,for-loop-index,cn4_cs128,22
16,for-loop-index,cn64_cs8,20
17,for-loop-index,cn8_cs64,20
18,median,cn128_cs4,0
19,median,cn16_cs32,32
20,median,cn1_cs512,41
21,median,cn256_cs2,0
22,median,cn2_cs256,38
23,median,cn32_cs16,24
24,median,cn4_cs128,39
25,median,cn64_cs8,4
26,median,cn8_cs64,36
27,small-or-large,cn128_cs4,0
28,small-or-large,cn16_cs32,1
29,small-or-large,cn1_cs512,15
30,small-or-large,cn256_cs2,0
31,small-or-large,cn2_cs256,9
32,small-or-large,cn32_cs16,0
33,small-or-large,cn4_cs128,6
34,small-or-large,cn64_cs8,0
35,small-or-large,cn8_cs64,3
36,smallest,cn128_cs4,4
37,smallest,cn16_cs32,38
38,smallest,cn1_cs512,43
39,smallest,cn256_cs2,0
40,smallest,cn2_cs256,45
41,smallest,cn32_cs16,31
42,smallest,cn4_cs128,43
43,smallest,cn64_cs8,12
44,smallest,cn8_cs64,34
