,problem,dims,count
0,compare-string-lengths,cn128_cs4,35
1,compare-string-lengths,cn16_cs32,48
2,compare-string-lengths,cn256_cs2,19
3,compare-string-lengths,cn2_cs256,50
4,compare-string-lengths,cn32_cs16,49
5,compare-string-lengths,cn4_cs128,50
6,compare-string-lengths,cn64_cs8,45
7,compare-string-lengths,cn8_cs64,48
8,median,cn128_cs4,38
9,median,cn16_cs32,39
10,median,cn256_cs2,20
11,median,cn2_cs256,39
12,median,cn32_cs16,44
13,median,cn4_cs128,39
14,median,cn64_cs8,42
15,median,cn8_cs64,41
16,small-or-large,cn128_cs4,3
17,small-or-large,cn16_cs32,15
18,small-or-large,cn256_cs2,0
19,small-or-large,cn2_cs256,18
20,small-or-large,cn32_cs16,10
21,small-or-large,cn4_cs128,15
22,small-or-large,cn64_cs8,5
23,small-or-large,cn8_cs64,13
24,smallest,cn128_cs4,37
25,smallest,cn16_cs32,46
26,smallest,cn256_cs2,19
27,smallest,cn2_cs256,43
28,smallest,cn32_cs16,44
29,smallest,cn4_cs128,38
30,smallest,cn64_cs8,40
31,smallest,cn8_cs64,46
0,compare-string-lengths,cn1_cs512,50
1,median,cn1_cs512,41
2,small-or-large,cn1_cs512,15
3,smallest,cn1_cs512,43
