,dims,gens
0,cn16_cs32,314
1,cn16_cs32,233
2,cn16_cs32,343
3,cn16_cs32,342
4,cn16_cs32,378
5,cn16_cs32,463
6,cn16_cs32,295
7,cn16_cs32,361
8,cn16_cs32,180
9,cn16_cs32,998
10,cn16_cs32,165
11,cn16_cs32,303
12,cn16_cs32,108
13,cn16_cs32,451
14,cn16_cs32,690
15,cn16_cs32,120
16,cn16_cs32,37
17,cn16_cs32,507
18,cn16_cs32,205
19,cn16_cs32,188
20,cn16_cs32,691
21,cn16_cs32,343
22,cn16_cs32,380
23,cn16_cs32,945
24,cn16_cs32,865
25,cn16_cs32,444
26,cn16_cs32,106
27,cn16_cs32,473
28,cn16_cs32,389
29,cn16_cs32,316
30,cn16_cs32,1000
31,cn16_cs32,421
32,cn16_cs32,206
33,cn16_cs32,694
34,cn1_cs512,199
35,cn1_cs512,268
36,cn1_cs512,241
37,cn1_cs512,114
38,cn1_cs512,254
39,cn1_cs512,547
40,cn1_cs512,399
41,cn1_cs512,519
42,cn1_cs512,244
43,cn1_cs512,400
44,cn1_cs512,473
45,cn1_cs512,430
46,cn1_cs512,371
47,cn1_cs512,165
48,cn1_cs512,183
49,cn1_cs512,181
50,cn1_cs512,112
51,cn1_cs512,128
52,cn1_cs512,316
53,cn1_cs512,221
54,cn1_cs512,271
55,cn1_cs512,227
56,cn1_cs512,285
57,cn1_cs512,77
58,cn1_cs512,330
59,cn1_cs512,303
60,cn1_cs512,95
61,cn1_cs512,163
62,cn1_cs512,237
63,cn1_cs512,333
64,cn1_cs512,348
65,cn1_cs512,316
66,cn1_cs512,427
67,cn1_cs512,215
68,cn1_cs512,999
69,cn1_cs512,68
70,cn1_cs512,114
71,cn1_cs512,201
72,cn1_cs512,367
73,cn1_cs512,257
74,cn1_cs512,93
75,cn1_cs512,145
76,cn1_cs512,334
77,cn1_cs512,409
78,cn1_cs512,371
79,cn1_cs512,139
80,cn1_cs512,435
81,cn1_cs512,506
82,cn1_cs512,104
83,cn1_cs512,69
84,cn2_cs256,485
85,cn2_cs256,103
86,cn2_cs256,331
87,cn2_cs256,279
88,cn2_cs256,108
89,cn2_cs256,318
90,cn2_cs256,140
91,cn2_cs256,406
92,cn2_cs256,93
93,cn2_cs256,103
94,cn2_cs256,197
95,cn2_cs256,168
96,cn2_cs256,143
97,cn2_cs256,96
98,cn2_cs256,260
99,cn2_cs256,922
100,cn2_cs256,324
101,cn2_cs256,233
102,cn2_cs256,405
103,cn2_cs256,616
104,cn2_cs256,256
105,cn2_cs256,252
106,cn2_cs256,81
107,cn2_cs256,270
108,cn2_cs256,318
109,cn2_cs256,171
110,cn2_cs256,193
111,cn2_cs256,864
112,cn2_cs256,452
113,cn2_cs256,86
114,cn2_cs256,146
115,cn2_cs256,422
116,cn2_cs256,202
117,cn2_cs256,313
118,cn2_cs256,402
119,cn2_cs256,98
120,cn2_cs256,169
121,cn2_cs256,573
122,cn2_cs256,339
123,cn2_cs256,348
124,cn2_cs256,144
125,cn2_cs256,369
126,cn2_cs256,710
127,cn2_cs256,192
128,cn2_cs256,497
129,cn2_cs256,368
130,cn2_cs256,391
131,cn2_cs256,164
132,cn2_cs256,425
133,cn32_cs16,994
134,cn32_cs16,390
135,cn32_cs16,691
136,cn32_cs16,350
137,cn32_cs16,575
138,cn32_cs16,760
139,cn32_cs16,954
140,cn32_cs16,727
141,cn32_cs16,654
142,cn32_cs16,532
143,cn32_cs16,431
144,cn4_cs128,357
145,cn4_cs128,137
146,cn4_cs128,856
147,cn4_cs128,262
148,cn4_cs128,171
149,cn4_cs128,360
150,cn4_cs128,146
151,cn4_cs128,337
152,cn4_cs128,216
153,cn4_cs128,760
154,cn4_cs128,175
155,cn4_cs128,302
156,cn4_cs128,116
157,cn4_cs128,256
158,cn4_cs128,166
159,cn4_cs128,128
160,cn4_cs128,623
161,cn4_cs128,425
162,cn4_cs128,471
163,cn4_cs128,258
164,cn4_cs128,248
165,cn4_cs128,401
166,cn4_cs128,211
167,cn4_cs128,494
168,cn4_cs128,226
169,cn4_cs128,750
170,cn4_cs128,602
171,cn4_cs128,324
172,cn4_cs128,226
173,cn4_cs128,554
174,cn4_cs128,658
175,cn4_cs128,423
176,cn4_cs128,303
177,cn4_cs128,794
178,cn4_cs128,56
179,cn4_cs128,208
180,cn4_cs128,124
181,cn4_cs128,179
182,cn4_cs128,770
183,cn4_cs128,848
184,cn4_cs128,65
185,cn4_cs128,229
186,cn4_cs128,363
187,cn4_cs128,233
188,cn8_cs64,128
189,cn8_cs64,207
190,cn8_cs64,298
191,cn8_cs64,186
192,cn8_cs64,117
193,cn8_cs64,481
194,cn8_cs64,358
195,cn8_cs64,434
196,cn8_cs64,153
197,cn8_cs64,316
198,cn8_cs64,839
199,cn8_cs64,921
200,cn8_cs64,784
201,cn8_cs64,296
202,cn8_cs64,459
203,cn8_cs64,557
204,cn8_cs64,305
205,cn8_cs64,549
206,cn8_cs64,120
207,cn8_cs64,624
208,cn8_cs64,193
209,cn8_cs64,172
210,cn8_cs64,640
211,cn8_cs64,216
212,cn8_cs64,579
213,cn8_cs64,28
214,cn8_cs64,244
215,cn8_cs64,384
216,cn8_cs64,326
217,cn8_cs64,283
218,cn8_cs64,508
219,cn8_cs64,437
220,cn8_cs64,360
221,cn8_cs64,785
222,cn8_cs64,109
223,cn8_cs64,199
224,cn8_cs64,318
225,cn8_cs64,404
226,cn8_cs64,134
227,cn8_cs64,889
228,cn8_cs64,464
229,cn8_cs64,149
230,cn8_cs64,229
