,dims,gens
0,cn128_cs4,382
1,cn128_cs4,463
2,cn128_cs4,861
3,cn128_cs4,163
4,cn128_cs4,316
5,cn128_cs4,703
6,cn128_cs4,558
7,cn128_cs4,513
8,cn16_cs32,52
9,cn16_cs32,508
10,cn16_cs32,104
11,cn16_cs32,211
12,cn16_cs32,80
13,cn16_cs32,101
14,cn16_cs32,282
15,cn16_cs32,382
16,cn16_cs32,470
17,cn16_cs32,707
18,cn16_cs32,440
19,cn16_cs32,213
20,cn16_cs32,497
21,cn16_cs32,359
22,cn16_cs32,423
23,cn16_cs32,941
24,cn16_cs32,594
25,cn16_cs32,195
26,cn16_cs32,174
27,cn16_cs32,321
28,cn16_cs32,538
29,cn16_cs32,302
30,cn16_cs32,552
31,cn16_cs32,344
32,cn16_cs32,227
33,cn16_cs32,483
34,cn16_cs32,671
35,cn16_cs32,327
36,cn16_cs32,335
37,cn16_cs32,78
38,cn16_cs32,260
39,cn16_cs32,443
40,cn16_cs32,99
41,cn16_cs32,733
42,cn16_cs32,151
43,cn16_cs32,74
44,cn16_cs32,210
45,cn16_cs32,230
46,cn16_cs32,604
47,cn16_cs32,274
48,cn16_cs32,500
49,cn16_cs32,146
50,cn16_cs32,429
51,cn16_cs32,117
52,cn16_cs32,810
53,cn16_cs32,117
54,cn2_cs256,134
55,cn2_cs256,809
56,cn2_cs256,405
57,cn2_cs256,615
58,cn2_cs256,98
59,cn2_cs256,916
60,cn2_cs256,81
61,cn2_cs256,400
62,cn2_cs256,441
63,cn2_cs256,788
64,cn2_cs256,395
65,cn2_cs256,688
66,cn2_cs256,201
67,cn2_cs256,460
68,cn2_cs256,180
69,cn2_cs256,238
70,cn2_cs256,187
71,cn2_cs256,338
72,cn2_cs256,223
73,cn2_cs256,181
74,cn2_cs256,321
75,cn2_cs256,210
76,cn2_cs256,619
77,cn2_cs256,41
78,cn2_cs256,666
79,cn2_cs256,327
80,cn2_cs256,184
81,cn2_cs256,153
82,cn2_cs256,630
83,cn2_cs256,359
84,cn2_cs256,147
85,cn2_cs256,233
86,cn2_cs256,308
87,cn2_cs256,481
88,cn2_cs256,571
89,cn2_cs256,123
90,cn2_cs256,231
91,cn2_cs256,73
92,cn2_cs256,267
93,cn2_cs256,90
94,cn2_cs256,349
95,cn2_cs256,204
96,cn2_cs256,397
97,cn2_cs256,195
98,cn2_cs256,548
99,cn2_cs256,188
100,cn2_cs256,227
101,cn2_cs256,587
102,cn2_cs256,285
103,cn2_cs256,428
104,cn32_cs16,223
105,cn32_cs16,266
106,cn32_cs16,437
107,cn32_cs16,274
108,cn32_cs16,208
109,cn32_cs16,761
110,cn32_cs16,234
111,cn32_cs16,963
112,cn32_cs16,297
113,cn32_cs16,180
114,cn32_cs16,424
115,cn32_cs16,433
116,cn32_cs16,652
117,cn32_cs16,151
118,cn32_cs16,453
119,cn32_cs16,271
120,cn32_cs16,395
121,cn32_cs16,970
122,cn32_cs16,796
123,cn32_cs16,574
124,cn32_cs16,311
125,cn32_cs16,512
126,cn32_cs16,417
127,cn32_cs16,83
128,cn32_cs16,184
129,cn32_cs16,494
130,cn32_cs16,54
131,cn32_cs16,328
132,cn32_cs16,260
133,cn32_cs16,100
134,cn32_cs16,36
135,cn32_cs16,155
136,cn32_cs16,392
137,cn32_cs16,67
138,cn32_cs16,323
139,cn32_cs16,533
140,cn32_cs16,354
141,cn32_cs16,274
142,cn32_cs16,128
143,cn32_cs16,158
144,cn4_cs128,406
145,cn4_cs128,695
146,cn4_cs128,61
147,cn4_cs128,152
148,cn4_cs128,163
149,cn4_cs128,271
150,cn4_cs128,96
151,cn4_cs128,240
152,cn4_cs128,482
153,cn4_cs128,543
154,cn4_cs128,275
155,cn4_cs128,980
156,cn4_cs128,941
157,cn4_cs128,136
158,cn4_cs128,195
159,cn4_cs128,102
160,cn4_cs128,630
