,dims,gens
0,cn128_cs4,554
1,cn128_cs4,298
2,cn128_cs4,609
3,cn128_cs4,408
4,cn128_cs4,99
5,cn128_cs4,165
6,cn128_cs4,317
7,cn128_cs4,751
8,cn128_cs4,315
9,cn128_cs4,257
10,cn128_cs4,171
11,cn128_cs4,488
12,cn128_cs4,797
13,cn128_cs4,223
14,cn128_cs4,149
15,cn128_cs4,670
16,cn128_cs4,48
17,cn128_cs4,277
18,cn128_cs4,583
19,cn128_cs4,314
20,cn128_cs4,111
21,cn128_cs4,508
22,cn128_cs4,141
23,cn128_cs4,218
24,cn128_cs4,755
25,cn128_cs4,88
26,cn128_cs4,274
27,cn128_cs4,437
28,cn128_cs4,574
29,cn128_cs4,184
30,cn128_cs4,220
31,cn128_cs4,251
32,cn128_cs4,539
33,cn128_cs4,362
34,cn128_cs4,218
35,cn16_cs32,205
36,cn16_cs32,299
37,cn16_cs32,273
38,cn16_cs32,222
39,cn16_cs32,270
40,cn16_cs32,94
41,cn16_cs32,227
42,cn16_cs32,226
43,cn16_cs32,730
44,cn16_cs32,210
45,cn16_cs32,129
46,cn16_cs32,133
47,cn16_cs32,551
48,cn16_cs32,411
49,cn16_cs32,258
50,cn16_cs32,200
51,cn16_cs32,75
52,cn16_cs32,164
53,cn16_cs32,66
54,cn16_cs32,292
55,cn16_cs32,132
56,cn16_cs32,606
57,cn16_cs32,404
58,cn16_cs32,148
59,cn16_cs32,427
60,cn16_cs32,169
61,cn16_cs32,484
62,cn16_cs32,103
63,cn16_cs32,212
64,cn16_cs32,599
65,cn16_cs32,163
66,cn16_cs32,356
67,cn16_cs32,571
68,cn16_cs32,272
69,cn16_cs32,70
70,cn16_cs32,462
71,cn16_cs32,283
72,cn16_cs32,241
73,cn16_cs32,291
74,cn16_cs32,156
75,cn16_cs32,169
76,cn16_cs32,347
77,cn16_cs32,136
78,cn16_cs32,498
79,cn16_cs32,148
80,cn16_cs32,94
81,cn16_cs32,75
82,cn16_cs32,134
83,cn256_cs2,261
84,cn256_cs2,75
85,cn256_cs2,348
86,cn256_cs2,893
87,cn256_cs2,307
88,cn256_cs2,90
89,cn256_cs2,162
90,cn256_cs2,140
91,cn256_cs2,408
92,cn256_cs2,331
93,cn256_cs2,103
94,cn256_cs2,79
95,cn256_cs2,966
96,cn256_cs2,483
97,cn256_cs2,629
98,cn256_cs2,226
99,cn256_cs2,471
100,cn256_cs2,68
101,cn256_cs2,958
102,cn2_cs256,182
103,cn2_cs256,138
104,cn2_cs256,927
105,cn2_cs256,182
106,cn2_cs256,791
107,cn2_cs256,339
108,cn2_cs256,736
109,cn2_cs256,301
110,cn2_cs256,594
111,cn2_cs256,301
112,cn2_cs256,52
113,cn2_cs256,367
114,cn2_cs256,80
115,cn2_cs256,130
116,cn2_cs256,71
117,cn2_cs256,222
118,cn2_cs256,91
119,cn2_cs256,163
120,cn2_cs256,195
121,cn2_cs256,315
122,cn2_cs256,123
123,cn2_cs256,344
124,cn2_cs256,368
125,cn2_cs256,71
126,cn2_cs256,77
127,cn2_cs256,98
128,cn2_cs256,391
129,cn2_cs256,262
130,cn2_cs256,135
131,cn2_cs256,116
132,cn2_cs256,39
133,cn2_cs256,99
134,cn2_cs256,199
135,cn2_cs256,121
136,cn2_cs256,173
137,cn2_cs256,441
138,cn2_cs256,169
139,cn2_cs256,129
140,cn2_cs256,254
141,cn2_cs256,78
142,cn2_cs256,142
143,cn2_cs256,164
144,cn2_cs256,142
145,cn2_cs256,246
146,cn2_cs256,330
147,cn2_cs256,231
148,cn2_cs256,242
149,cn2_cs256,80
150,cn2_cs256,169
151,cn2_cs256,231
152,cn32_cs16,92
153,cn32_cs16,175
154,cn32_cs16,314
155,cn32_cs16,379
156,cn32_cs16,462
157,cn32_cs16,587
158,cn32_cs16,362
159,cn32_cs16,237
160,cn32_cs16,286
161,cn32_cs16,260
162,cn32_cs16,374
163,cn32_cs16,70
164,cn32_cs16,368
165,cn32_cs16,220
166,cn32_cs16,684
167,cn32_cs16,242
168,cn32_cs16,214
169,cn32_cs16,742
170,cn32_cs16,397
171,cn32_cs16,344
172,cn32_cs16,605
173,cn32_cs16,115
174,cn32_cs16,442
175,cn32_cs16,347
176,cn32_cs16,137
177,cn32_cs16,591
178,cn32_cs16,75
179,cn32_cs16,188
180,cn32_cs16,593
181,cn32_cs16,394
182,cn32_cs16,585
183,cn32_cs16,287
184,cn32_cs16,467
185,cn32_cs16,134
186,cn32_cs16,161
187,cn32_cs16,106
188,cn32_cs16,569
189,cn32_cs16,734
190,cn32_cs16,77
191,cn32_cs16,263
192,cn32_cs16,618
193,cn32_cs16,90
194,cn32_cs16,675
195,cn32_cs16,406
196,cn32_cs16,696
197,cn32_cs16,273
198,cn32_cs16,68
199,cn32_cs16,172
200,cn32_cs16,136
201,cn4_cs128,166
202,cn4_cs128,72
203,cn4_cs128,405
204,cn4_cs128,210
205,cn4_cs128,105
206,cn4_cs128,216
207,cn4_cs128,459
208,cn4_cs128,315
209,cn4_cs128,313
210,cn4_cs128,278
211,cn4_cs128,414
212,cn4_cs128,474
213,cn4_cs128,315
214,cn4_cs128,398
215,cn4_cs128,430
216,cn4_cs128,299
217,cn4_cs128,201
218,cn4_cs128,242
219,cn4_cs128,257
220,cn4_cs128,66
221,cn4_cs128,160
222,cn4_cs128,866
223,cn4_cs128,77
224,cn4_cs128,494
225,cn4_cs128,290
226,cn4_cs128,221
227,cn4_cs128,306
228,cn4_cs128,165
229,cn4_cs128,418
230,cn4_cs128,158
231,cn4_cs128,214
232,cn4_cs128,318
233,cn4_cs128,37
234,cn4_cs128,677
235,cn4_cs128,206
236,cn4_cs128,474
237,cn4_cs128,379
238,cn4_cs128,501
239,cn4_cs128,75
240,cn4_cs128,167
241,cn4_cs128,225
242,cn4_cs128,58
243,cn4_cs128,262
244,cn4_cs128,123
245,cn4_cs128,142
246,cn4_cs128,401
247,cn4_cs128,172
248,cn4_cs128,143
249,cn4_cs128,218
250,cn4_cs128,217
251,cn64_cs8,435
252,cn64_cs8,342
253,cn64_cs8,79
254,cn64_cs8,136
255,cn64_cs8,577
256,cn64_cs8,101
257,cn64_cs8,596
258,cn64_cs8,673
259,cn64_cs8,580
260,cn64_cs8,358
261,cn64_cs8,106
262,cn64_cs8,206
263,cn64_cs8,162
264,cn64_cs8,188
265,cn64_cs8,370
266,cn64_cs8,978
267,cn64_cs8,304
268,cn64_cs8,334
269,cn64_cs8,93
270,cn64_cs8,716
271,cn64_cs8,133
272,cn64_cs8,153
273,cn64_cs8,236
274,cn64_cs8,515
275,cn64_cs8,61
276,cn64_cs8,291
277,cn64_cs8,228
278,cn64_cs8,347
279,cn64_cs8,54
280,cn64_cs8,103
281,cn64_cs8,701
282,cn64_cs8,310
283,cn64_cs8,313
284,cn64_cs8,677
285,cn64_cs8,185
286,cn64_cs8,174
287,cn64_cs8,584
288,cn64_cs8,241
289,cn64_cs8,89
290,cn64_cs8,173
291,cn64_cs8,225
292,cn64_cs8,502
293,cn64_cs8,325
294,cn64_cs8,184
295,cn64_cs8,454
296,cn8_cs64,295
297,cn8_cs64,303
298,cn8_cs64,47
299,cn8_cs64,187
300,cn8_cs64,222
301,cn8_cs64,147
302,cn8_cs64,160
303,cn8_cs64,614
304,cn8_cs64,112
305,cn8_cs64,648
306,cn8_cs64,300
307,cn8_cs64,105
308,cn8_cs64,145
309,cn8_cs64,128
310,cn8_cs64,165
311,cn8_cs64,152
312,cn8_cs64,170
313,cn8_cs64,198
314,cn8_cs64,79
315,cn8_cs64,147
316,cn8_cs64,85
317,cn8_cs64,280
318,cn8_cs64,543
319,cn8_cs64,545
320,cn8_cs64,433
321,cn8_cs64,50
322,cn8_cs64,97
323,cn8_cs64,81
324,cn8_cs64,484
325,cn8_cs64,184
326,cn8_cs64,173
327,cn8_cs64,464
328,cn8_cs64,122
329,cn8_cs64,560
330,cn8_cs64,224
331,cn8_cs64,388
332,cn8_cs64,88
333,cn8_cs64,107
334,cn8_cs64,81
335,cn8_cs64,125
336,cn8_cs64,622
337,cn8_cs64,107
338,cn8_cs64,162
339,cn8_cs64,56
340,cn8_cs64,251
341,cn8_cs64,216
342,cn8_cs64,80
343,cn8_cs64,403
