,dims,gens
0,cn128_cs4,872
1,cn128_cs4,986
2,cn128_cs4,687
3,cn128_cs4,990
4,cn128_cs4,583
5,cn128_cs4,284
6,cn128_cs4,427
7,cn128_cs4,603
8,cn128_cs4,365
9,cn128_cs4,462
10,cn128_cs4,655
11,cn16_cs32,560
12,cn16_cs32,289
13,cn16_cs32,320
14,cn16_cs32,333
15,cn16_cs32,260
16,cn16_cs32,646
17,cn16_cs32,441
18,cn16_cs32,99
19,cn16_cs32,329
20,cn16_cs32,356
21,cn16_cs32,350
22,cn16_cs32,390
23,cn16_cs32,129
24,cn16_cs32,175
25,cn16_cs32,465
26,cn16_cs32,889
27,cn16_cs32,347
28,cn16_cs32,320
29,cn16_cs32,499
30,cn1_cs512,963
31,cn1_cs512,526
32,cn1_cs512,471
33,cn256_cs2,578
34,cn256_cs2,927
35,cn256_cs2,696
36,cn2_cs256,706
37,cn2_cs256,221
38,cn2_cs256,539
39,cn2_cs256,169
40,cn2_cs256,91
41,cn2_cs256,580
42,cn2_cs256,517
43,cn2_cs256,188
44,cn2_cs256,540
45,cn2_cs256,592
46,cn2_cs256,381
47,cn2_cs256,156
48,cn2_cs256,296
49,cn2_cs256,923
50,cn2_cs256,110
51,cn2_cs256,434
52,cn2_cs256,295
53,cn2_cs256,147
54,cn2_cs256,405
55,cn2_cs256,889
56,cn2_cs256,152
57,cn2_cs256,220
58,cn2_cs256,364
59,cn2_cs256,103
60,cn32_cs16,146
61,cn32_cs16,539
62,cn32_cs16,654
63,cn32_cs16,540
64,cn32_cs16,704
65,cn32_cs16,98
66,cn32_cs16,500
67,cn32_cs16,474
68,cn32_cs16,897
69,cn32_cs16,376
70,cn32_cs16,812
71,cn32_cs16,689
72,cn32_cs16,388
73,cn32_cs16,468
74,cn32_cs16,331
75,cn32_cs16,247
76,cn32_cs16,369
77,cn4_cs128,493
78,cn4_cs128,606
79,cn4_cs128,95
80,cn4_cs128,587
81,cn4_cs128,824
82,cn4_cs128,148
83,cn4_cs128,316
84,cn4_cs128,344
85,cn4_cs128,43
86,cn4_cs128,636
87,cn4_cs128,290
88,cn4_cs128,506
89,cn4_cs128,139
90,cn4_cs128,824
91,cn4_cs128,142
92,cn64_cs8,573
93,cn64_cs8,870
94,cn64_cs8,258
95,cn64_cs8,205
96,cn64_cs8,813
97,cn64_cs8,694
98,cn64_cs8,457
99,cn64_cs8,209
100,cn64_cs8,812
101,cn64_cs8,672
102,cn64_cs8,464
103,cn64_cs8,941
104,cn64_cs8,316
105,cn64_cs8,743
106,cn8_cs64,259
107,cn8_cs64,321
108,cn8_cs64,406
109,cn8_cs64,595
110,cn8_cs64,551
111,cn8_cs64,204
112,cn8_cs64,369
113,cn8_cs64,232
114,cn8_cs64,380
115,cn8_cs64,131
116,cn8_cs64,166
117,cn8_cs64,145
118,cn8_cs64,260
119,cn8_cs64,361
120,cn8_cs64,211
121,cn8_cs64,153
122,cn8_cs64,357
123,cn8_cs64,117
124,cn8_cs64,154
125,cn8_cs64,199
126,cn8_cs64,752
