,dims,gens
0,cn128_cs4,294
1,cn128_cs4,511
2,cn128_cs4,328
3,cn128_cs4,960
4,cn128_cs4,407
5,cn128_cs4,554
6,cn128_cs4,723
7,cn128_cs4,348
8,cn128_cs4,555
9,cn128_cs4,536
10,cn128_cs4,453
11,cn128_cs4,547
12,cn128_cs4,266
13,cn128_cs4,431
14,cn128_cs4,469
15,cn128_cs4,635
16,cn128_cs4,501
17,cn128_cs4,788
18,cn16_cs32,122
19,cn16_cs32,445
20,cn16_cs32,172
21,cn16_cs32,219
22,cn16_cs32,670
23,cn16_cs32,485
24,cn16_cs32,48
25,cn16_cs32,591
26,cn16_cs32,364
27,cn16_cs32,301
28,cn16_cs32,305
29,cn16_cs32,706
30,cn16_cs32,433
31,cn16_cs32,168
32,cn16_cs32,463
33,cn16_cs32,599
34,cn16_cs32,151
35,cn16_cs32,89
36,cn16_cs32,763
37,cn16_cs32,479
38,cn16_cs32,160
39,cn16_cs32,235
40,cn16_cs32,567
41,cn16_cs32,276
42,cn256_cs2,648
43,cn256_cs2,795
44,cn256_cs2,783
45,cn256_cs2,482
46,cn256_cs2,529
47,cn256_cs2,289
48,cn256_cs2,99
49,cn256_cs2,615
50,cn256_cs2,596
51,cn256_cs2,840
52,cn256_cs2,840
53,cn256_cs2,349
54,cn256_cs2,983
55,cn256_cs2,370
56,cn256_cs2,467
57,cn256_cs2,962
58,cn256_cs2,731
59,cn2_cs256,983
60,cn2_cs256,76
61,cn2_cs256,193
62,cn2_cs256,383
63,cn2_cs256,676
64,cn2_cs256,96
65,cn2_cs256,194
66,cn2_cs256,261
67,cn2_cs256,696
68,cn2_cs256,120
69,cn2_cs256,675
70,cn2_cs256,433
71,cn2_cs256,236
72,cn2_cs256,744
73,cn2_cs256,772
74,cn2_cs256,95
75,cn2_cs256,104
76,cn2_cs256,620
77,cn2_cs256,170
78,cn2_cs256,650
79,cn2_cs256,433
80,cn32_cs16,177
81,cn32_cs16,232
82,cn32_cs16,131
83,cn32_cs16,226
84,cn32_cs16,470
85,cn32_cs16,967
86,cn32_cs16,380
87,cn32_cs16,480
88,cn32_cs16,649
89,cn32_cs16,120
90,cn32_cs16,321
91,cn32_cs16,858
92,cn32_cs16,362
93,cn32_cs16,488
94,cn32_cs16,554
95,cn32_cs16,596
96,cn32_cs16,269
97,cn32_cs16,237
98,cn32_cs16,229
99,cn32_cs16,649
100,cn32_cs16,720
101,cn32_cs16,198
102,cn32_cs16,464
103,cn32_cs16,593
104,cn32_cs16,301
105,cn4_cs128,971
106,cn4_cs128,165
107,cn4_cs128,736
108,cn4_cs128,65
109,cn4_cs128,390
110,cn4_cs128,153
111,cn4_cs128,284
112,cn4_cs128,502
113,cn4_cs128,988
114,cn4_cs128,305
115,cn4_cs128,584
116,cn4_cs128,144
117,cn4_cs128,192
118,cn4_cs128,309
119,cn4_cs128,281
120,cn4_cs128,182
121,cn4_cs128,707
122,cn4_cs128,118
123,cn4_cs128,157
124,cn4_cs128,79
125,cn4_cs128,612
126,cn4_cs128,125
127,cn64_cs8,497
128,cn64_cs8,200
129,cn64_cs8,709
130,cn64_cs8,561
131,cn64_cs8,198
132,cn64_cs8,392
133,cn64_cs8,675
134,cn64_cs8,273
135,cn64_cs8,417
136,cn64_cs8,453
137,cn64_cs8,522
138,cn64_cs8,609
139,cn64_cs8,625
140,cn64_cs8,371
141,cn64_cs8,698
142,cn64_cs8,350
143,cn64_cs8,241
144,cn64_cs8,373
145,cn8_cs64,188
146,cn8_cs64,149
147,cn8_cs64,240
148,cn8_cs64,376
149,cn8_cs64,424
150,cn8_cs64,162
151,cn8_cs64,882
152,cn8_cs64,101
153,cn8_cs64,250
154,cn8_cs64,127
155,cn8_cs64,260
156,cn8_cs64,134
157,cn8_cs64,261
158,cn8_cs64,817
159,cn8_cs64,441
160,cn8_cs64,874
161,cn8_cs64,373
162,cn8_cs64,383
163,cn8_cs64,309
164,cn8_cs64,484
