,dims,gens
0,cn128_cs4,873
1,cn128_cs4,85
2,cn128_cs4,351
3,cn128_cs4,247
4,cn128_cs4,817
5,cn128_cs4,63
6,cn128_cs4,594
7,cn128_cs4,511
8,cn128_cs4,477
9,cn128_cs4,963
10,cn128_cs4,153
11,cn128_cs4,372
12,cn128_cs4,74
13,cn128_cs4,138
14,cn128_cs4,303
15,cn128_cs4,730
16,cn128_cs4,289
17,cn128_cs4,883
18,cn128_cs4,178
19,cn128_cs4,129
20,cn128_cs4,492
21,cn128_cs4,218
22,cn128_cs4,484
23,cn128_cs4,399
24,cn128_cs4,117
25,cn128_cs4,146
26,cn128_cs4,99
27,cn16_cs32,136
28,cn16_cs32,251
29,cn16_cs32,936
30,cn16_cs32,962
31,cn16_cs32,129
32,cn16_cs32,451
33,cn16_cs32,393
34,cn16_cs32,180
35,cn16_cs32,192
36,cn16_cs32,171
37,cn16_cs32,199
38,cn16_cs32,603
39,cn16_cs32,162
40,cn16_cs32,345
41,cn16_cs32,644
42,cn16_cs32,298
43,cn16_cs32,722
44,cn16_cs32,146
45,cn16_cs32,224
46,cn16_cs32,720
47,cn16_cs32,117
48,cn16_cs32,78
49,cn16_cs32,588
50,cn16_cs32,144
51,cn16_cs32,217
52,cn16_cs32,73
53,cn256_cs2,315
54,cn256_cs2,349
55,cn256_cs2,528
56,cn256_cs2,564
57,cn256_cs2,634
58,cn256_cs2,257
59,cn256_cs2,171
60,cn256_cs2,314
61,cn256_cs2,197
62,cn256_cs2,514
63,cn256_cs2,151
64,cn256_cs2,1000
65,cn256_cs2,602
66,cn256_cs2,153
67,cn256_cs2,208
68,cn256_cs2,195
69,cn256_cs2,850
70,cn2_cs256,904
71,cn2_cs256,140
72,cn2_cs256,400
73,cn2_cs256,71
74,cn2_cs256,776
75,cn2_cs256,509
76,cn2_cs256,794
77,cn2_cs256,291
78,cn2_cs256,433
79,cn2_cs256,158
80,cn2_cs256,761
81,cn2_cs256,220
82,cn2_cs256,164
83,cn2_cs256,274
84,cn2_cs256,169
85,cn2_cs256,424
86,cn2_cs256,198
87,cn2_cs256,151
88,cn2_cs256,133
89,cn2_cs256,295
90,cn2_cs256,114
91,cn2_cs256,129
92,cn2_cs256,207
93,cn2_cs256,554
94,cn2_cs256,82
95,cn2_cs256,104
96,cn2_cs256,230
97,cn32_cs16,844
98,cn32_cs16,419
99,cn32_cs16,136
100,cn32_cs16,517
101,cn32_cs16,623
102,cn32_cs16,78
103,cn32_cs16,939
104,cn32_cs16,363
105,cn32_cs16,740
106,cn32_cs16,792
107,cn32_cs16,344
108,cn32_cs16,232
109,cn32_cs16,760
110,cn32_cs16,173
111,cn32_cs16,207
112,cn32_cs16,95
113,cn32_cs16,345
114,cn32_cs16,984
115,cn32_cs16,160
116,cn32_cs16,84
117,cn32_cs16,990
118,cn32_cs16,865
119,cn32_cs16,157
120,cn32_cs16,61
121,cn32_cs16,107
122,cn4_cs128,637
123,cn4_cs128,521
124,cn4_cs128,200
125,cn4_cs128,425
126,cn4_cs128,407
127,cn4_cs128,171
128,cn4_cs128,71
129,cn4_cs128,166
130,cn4_cs128,976
131,cn4_cs128,550
132,cn4_cs128,518
133,cn4_cs128,561
134,cn4_cs128,161
135,cn4_cs128,243
136,cn4_cs128,146
137,cn4_cs128,849
138,cn4_cs128,338
139,cn4_cs128,337
140,cn4_cs128,107
141,cn4_cs128,84
142,cn4_cs128,154
143,cn4_cs128,473
144,cn4_cs128,950
145,cn4_cs128,634
146,cn4_cs128,291
147,cn64_cs8,326
148,cn64_cs8,905
149,cn64_cs8,719
150,cn64_cs8,351
151,cn64_cs8,79
152,cn64_cs8,806
153,cn64_cs8,476
154,cn64_cs8,211
155,cn64_cs8,120
156,cn64_cs8,202
157,cn64_cs8,842
158,cn64_cs8,930
159,cn64_cs8,472
160,cn64_cs8,445
161,cn64_cs8,768
162,cn64_cs8,178
163,cn64_cs8,191
164,cn64_cs8,80
165,cn64_cs8,125
166,cn64_cs8,310
167,cn64_cs8,79
168,cn64_cs8,56
169,cn64_cs8,319
170,cn64_cs8,92
171,cn64_cs8,223
172,cn64_cs8,137
173,cn8_cs64,941
174,cn8_cs64,161
175,cn8_cs64,224
176,cn8_cs64,548
177,cn8_cs64,876
178,cn8_cs64,137
179,cn8_cs64,264
180,cn8_cs64,210
181,cn8_cs64,101
182,cn8_cs64,880
183,cn8_cs64,216
184,cn8_cs64,92
185,cn8_cs64,158
186,cn8_cs64,339
187,cn8_cs64,821
188,cn8_cs64,326
189,cn8_cs64,144
190,cn8_cs64,671
191,cn8_cs64,575
192,cn8_cs64,127
