,dims,gens
0,cn16_cs32,486
1,cn16_cs32,518
2,cn16_cs32,628
3,cn16_cs32,413
4,cn16_cs32,725
5,cn16_cs32,412
6,cn16_cs32,449
7,cn16_cs32,297
8,cn16_cs32,415
9,cn16_cs32,348
10,cn16_cs32,363
11,cn16_cs32,216
12,cn16_cs32,505
13,cn16_cs32,198
14,cn16_cs32,464
15,cn16_cs32,392
16,cn16_cs32,151
17,cn16_cs32,970
18,cn16_cs32,672
19,cn16_cs32,163
20,cn16_cs32,781
21,cn16_cs32,294
22,cn16_cs32,298
23,cn16_cs32,340
24,cn16_cs32,891
25,cn16_cs32,638
26,cn16_cs32,194
27,cn16_cs32,291
28,cn16_cs32,427
29,cn16_cs32,181
30,cn16_cs32,629
31,cn16_cs32,556
32,cn1_cs512,279
33,cn1_cs512,183
34,cn1_cs512,243
35,cn1_cs512,535
36,cn1_cs512,492
37,cn1_cs512,754
38,cn1_cs512,231
39,cn1_cs512,269
40,cn1_cs512,663
41,cn1_cs512,280
42,cn1_cs512,162
43,cn1_cs512,160
44,cn1_cs512,89
45,cn1_cs512,421
46,cn1_cs512,664
47,cn1_cs512,578
48,cn1_cs512,458
49,cn1_cs512,227
50,cn1_cs512,269
51,cn1_cs512,336
52,cn1_cs512,221
53,cn1_cs512,196
54,cn1_cs512,118
55,cn1_cs512,386
56,cn1_cs512,162
57,cn1_cs512,536
58,cn1_cs512,246
59,cn1_cs512,954
60,cn1_cs512,126
61,cn1_cs512,499
62,cn1_cs512,131
63,cn1_cs512,244
64,cn1_cs512,139
65,cn1_cs512,246
66,cn1_cs512,133
67,cn1_cs512,173
68,cn1_cs512,156
69,cn1_cs512,301
70,cn1_cs512,503
71,cn1_cs512,410
72,cn1_cs512,300
73,cn2_cs256,320
74,cn2_cs256,183
75,cn2_cs256,170
76,cn2_cs256,214
77,cn2_cs256,141
78,cn2_cs256,180
79,cn2_cs256,204
80,cn2_cs256,330
81,cn2_cs256,273
82,cn2_cs256,231
83,cn2_cs256,207
84,cn2_cs256,455
85,cn2_cs256,350
86,cn2_cs256,273
87,cn2_cs256,76
88,cn2_cs256,708
89,cn2_cs256,177
90,cn2_cs256,629
91,cn2_cs256,209
92,cn2_cs256,364
93,cn2_cs256,199
94,cn2_cs256,546
95,cn2_cs256,161
96,cn2_cs256,86
97,cn2_cs256,126
98,cn2_cs256,148
99,cn2_cs256,561
100,cn2_cs256,138
101,cn2_cs256,697
102,cn2_cs256,102
103,cn2_cs256,109
104,cn2_cs256,231
105,cn2_cs256,93
106,cn2_cs256,121
107,cn2_cs256,158
108,cn2_cs256,157
109,cn2_cs256,304
110,cn2_cs256,113
111,cn32_cs16,153
112,cn32_cs16,811
113,cn32_cs16,196
114,cn32_cs16,444
115,cn32_cs16,249
116,cn32_cs16,431
117,cn32_cs16,363
118,cn32_cs16,827
119,cn32_cs16,408
120,cn32_cs16,384
121,cn32_cs16,831
122,cn32_cs16,564
123,cn32_cs16,200
124,cn32_cs16,227
125,cn32_cs16,687
126,cn32_cs16,847
127,cn32_cs16,512
128,cn32_cs16,386
129,cn32_cs16,169
130,cn32_cs16,526
131,cn32_cs16,393
132,cn32_cs16,881
133,cn32_cs16,911
134,cn32_cs16,639
135,cn4_cs128,299
136,cn4_cs128,344
137,cn4_cs128,367
138,cn4_cs128,257
139,cn4_cs128,604
140,cn4_cs128,102
141,cn4_cs128,171
142,cn4_cs128,141
143,cn4_cs128,144
144,cn4_cs128,672
145,cn4_cs128,131
146,cn4_cs128,176
147,cn4_cs128,286
148,cn4_cs128,372
149,cn4_cs128,195
150,cn4_cs128,461
151,cn4_cs128,220
152,cn4_cs128,288
153,cn4_cs128,244
154,cn4_cs128,245
155,cn4_cs128,214
156,cn4_cs128,185
157,cn4_cs128,470
158,cn4_cs128,200
159,cn4_cs128,238
160,cn4_cs128,474
161,cn4_cs128,255
162,cn4_cs128,191
163,cn4_cs128,769
164,cn4_cs128,346
165,cn4_cs128,372
166,cn4_cs128,366
167,cn4_cs128,610
168,cn4_cs128,309
169,cn4_cs128,315
170,cn4_cs128,555
171,cn4_cs128,914
172,cn4_cs128,289
173,cn4_cs128,312
174,cn64_cs8,287
175,cn64_cs8,718
176,cn64_cs8,659
177,cn64_cs8,700
178,cn8_cs64,213
179,cn8_cs64,79
180,cn8_cs64,211
181,cn8_cs64,389
182,cn8_cs64,361
183,cn8_cs64,262
184,cn8_cs64,892
185,cn8_cs64,192
186,cn8_cs64,352
187,cn8_cs64,278
188,cn8_cs64,544
189,cn8_cs64,241
190,cn8_cs64,809
191,cn8_cs64,416
192,cn8_cs64,90
193,cn8_cs64,377
194,cn8_cs64,321
195,cn8_cs64,765
196,cn8_cs64,225
197,cn8_cs64,328
198,cn8_cs64,326
199,cn8_cs64,360
200,cn8_cs64,498
201,cn8_cs64,649
202,cn8_cs64,443
203,cn8_cs64,182
204,cn8_cs64,402
205,cn8_cs64,283
206,cn8_cs64,474
207,cn8_cs64,311
208,cn8_cs64,266
209,cn8_cs64,154
210,cn8_cs64,423
211,cn8_cs64,516
212,cn8_cs64,255
213,cn8_cs64,322
