,dims,gens
0,cn128_cs4,696
1,cn128_cs4,821
2,cn128_cs4,564
3,cn128_cs4,658
4,cn128_cs4,507
5,cn128_cs4,387
6,cn128_cs4,998
7,cn128_cs4,819
8,cn128_cs4,434
9,cn128_cs4,495
10,cn128_cs4,645
11,cn16_cs32,550
12,cn16_cs32,209
13,cn16_cs32,249
14,cn16_cs32,928
15,cn16_cs32,308
16,cn16_cs32,167
17,cn16_cs32,177
18,cn16_cs32,190
19,cn16_cs32,184
20,cn16_cs32,171
21,cn16_cs32,229
22,cn16_cs32,152
23,cn16_cs32,474
24,cn16_cs32,312
25,cn16_cs32,442
26,cn16_cs32,409
27,cn16_cs32,295
28,cn16_cs32,560
29,cn16_cs32,186
30,cn16_cs32,652
31,cn16_cs32,566
32,cn16_cs32,305
33,cn16_cs32,281
34,cn16_cs32,249
35,cn16_cs32,133
36,cn16_cs32,138
37,cn16_cs32,217
38,cn16_cs32,435
39,cn16_cs32,118
40,cn16_cs32,118
41,cn16_cs32,373
42,cn16_cs32,298
43,cn16_cs32,223
44,cn16_cs32,419
45,cn16_cs32,340
46,cn16_cs32,552
47,cn16_cs32,565
48,cn16_cs32,512
49,cn2_cs256,141
50,cn2_cs256,234
51,cn2_cs256,292
52,cn2_cs256,193
53,cn2_cs256,133
54,cn2_cs256,343
55,cn2_cs256,167
56,cn2_cs256,791
57,cn2_cs256,179
58,cn2_cs256,333
59,cn2_cs256,316
60,cn2_cs256,153
61,cn2_cs256,149
62,cn2_cs256,373
63,cn2_cs256,231
64,cn2_cs256,109
65,cn2_cs256,229
66,cn2_cs256,683
67,cn2_cs256,274
68,cn2_cs256,547
69,cn2_cs256,242
70,cn2_cs256,269
71,cn2_cs256,323
72,cn2_cs256,257
73,cn2_cs256,160
74,cn2_cs256,131
75,cn2_cs256,162
76,cn2_cs256,562
77,cn2_cs256,453
78,cn2_cs256,164
79,cn2_cs256,142
80,cn2_cs256,210
81,cn2_cs256,140
82,cn2_cs256,212
83,cn2_cs256,300
84,cn2_cs256,62
85,cn2_cs256,396
86,cn2_cs256,184
87,cn2_cs256,158
88,cn2_cs256,190
89,cn2_cs256,437
90,cn2_cs256,207
91,cn2_cs256,221
92,cn2_cs256,183
93,cn2_cs256,220
94,cn32_cs16,743
95,cn32_cs16,942
96,cn32_cs16,686
97,cn32_cs16,932
98,cn32_cs16,497
99,cn32_cs16,315
100,cn32_cs16,139
101,cn32_cs16,388
102,cn32_cs16,360
103,cn32_cs16,210
104,cn32_cs16,330
105,cn32_cs16,868
106,cn32_cs16,432
107,cn32_cs16,469
108,cn32_cs16,565
109,cn32_cs16,318
110,cn32_cs16,377
111,cn32_cs16,759
112,cn32_cs16,484
113,cn32_cs16,560
114,cn32_cs16,199
115,cn32_cs16,110
116,cn32_cs16,721
117,cn32_cs16,542
118,cn32_cs16,417
119,cn32_cs16,279
120,cn32_cs16,814
121,cn32_cs16,622
122,cn32_cs16,613
123,cn32_cs16,297
124,cn4_cs128,353
125,cn4_cs128,129
126,cn4_cs128,296
127,cn4_cs128,808
128,cn4_cs128,539
129,cn4_cs128,457
130,cn4_cs128,229
131,cn4_cs128,217
132,cn4_cs128,234
133,cn4_cs128,271
134,cn4_cs128,270
135,cn4_cs128,427
136,cn4_cs128,218
137,cn4_cs128,266
138,cn4_cs128,543
139,cn4_cs128,546
140,cn4_cs128,332
141,cn4_cs128,106
142,cn4_cs128,351
143,cn4_cs128,417
144,cn4_cs128,390
145,cn4_cs128,383
146,cn4_cs128,438
147,cn4_cs128,185
148,cn4_cs128,279
149,cn4_cs128,257
150,cn4_cs128,239
151,cn4_cs128,583
152,cn4_cs128,175
153,cn4_cs128,753
154,cn4_cs128,213
155,cn4_cs128,148
156,cn4_cs128,324
157,cn4_cs128,92
158,cn4_cs128,268
159,cn4_cs128,147
160,cn4_cs128,346
161,cn4_cs128,265
162,cn4_cs128,363
163,cn64_cs8,343
164,cn64_cs8,770
165,cn64_cs8,633
166,cn64_cs8,160
167,cn64_cs8,243
168,cn64_cs8,224
169,cn64_cs8,642
170,cn64_cs8,313
171,cn64_cs8,931
172,cn64_cs8,475
173,cn64_cs8,243
174,cn64_cs8,680
175,cn64_cs8,365
176,cn64_cs8,102
177,cn64_cs8,363
178,cn64_cs8,815
179,cn64_cs8,280
180,cn64_cs8,127
181,cn64_cs8,540
182,cn64_cs8,441
183,cn64_cs8,621
184,cn64_cs8,350
185,cn64_cs8,661
186,cn64_cs8,348
187,cn64_cs8,986
188,cn64_cs8,593
189,cn64_cs8,317
190,cn64_cs8,197
191,cn64_cs8,249
192,cn8_cs64,291
193,cn8_cs64,219
194,cn8_cs64,138
195,cn8_cs64,575
196,cn8_cs64,241
197,cn8_cs64,224
198,cn8_cs64,443
199,cn8_cs64,548
200,cn8_cs64,242
201,cn8_cs64,233
202,cn8_cs64,309
203,cn8_cs64,577
204,cn8_cs64,229
205,cn8_cs64,210
206,cn8_cs64,154
207,cn8_cs64,645
208,cn8_cs64,109
209,cn8_cs64,490
210,cn8_cs64,628
211,cn8_cs64,696
212,cn8_cs64,229
213,cn8_cs64,438
214,cn8_cs64,535
215,cn8_cs64,92
216,cn8_cs64,328
217,cn8_cs64,133
218,cn8_cs64,382
219,cn8_cs64,804
220,cn8_cs64,320
221,cn8_cs64,407
222,cn8_cs64,568
223,cn8_cs64,584
224,cn8_cs64,184
225,cn8_cs64,327
