,dims,gens
0,cn128_cs4,570
1,cn128_cs4,395
2,cn128_cs4,270
3,cn128_cs4,523
4,cn128_cs4,808
5,cn128_cs4,384
6,cn128_cs4,246
7,cn128_cs4,272
8,cn128_cs4,263
9,cn128_cs4,299
10,cn128_cs4,241
11,cn128_cs4,845
12,cn128_cs4,246
13,cn128_cs4,737
14,cn128_cs4,845
15,cn128_cs4,126
16,cn128_cs4,335
17,cn128_cs4,165
18,cn128_cs4,340
19,cn128_cs4,203
20,cn128_cs4,183
21,cn128_cs4,662
22,cn128_cs4,189
23,cn128_cs4,257
24,cn128_cs4,871
25,cn128_cs4,406
26,cn128_cs4,146
27,cn128_cs4,879
28,cn128_cs4,291
29,cn128_cs4,602
30,cn128_cs4,148
31,cn128_cs4,182
32,cn128_cs4,97
33,cn128_cs4,223
34,cn128_cs4,402
35,cn128_cs4,282
36,cn128_cs4,180
37,cn128_cs4,172
38,cn16_cs32,188
39,cn16_cs32,133
40,cn16_cs32,258
41,cn16_cs32,485
42,cn16_cs32,232
43,cn16_cs32,202
44,cn16_cs32,189
45,cn16_cs32,408
46,cn16_cs32,225
47,cn16_cs32,190
48,cn16_cs32,132
49,cn16_cs32,258
50,cn16_cs32,356
51,cn16_cs32,228
52,cn16_cs32,183
53,cn16_cs32,212
54,cn16_cs32,171
55,cn16_cs32,387
56,cn16_cs32,540
57,cn16_cs32,96
58,cn16_cs32,171
59,cn16_cs32,175
60,cn16_cs32,579
61,cn16_cs32,332
62,cn16_cs32,216
63,cn16_cs32,167
64,cn16_cs32,114
65,cn16_cs32,93
66,cn16_cs32,724
67,cn16_cs32,267
68,cn16_cs32,345
69,cn16_cs32,443
70,cn16_cs32,190
71,cn16_cs32,241
72,cn16_cs32,135
73,cn16_cs32,599
74,cn16_cs32,102
75,cn16_cs32,340
76,cn16_cs32,266
77,cn256_cs2,416
78,cn256_cs2,363
79,cn256_cs2,579
80,cn256_cs2,487
81,cn256_cs2,983
82,cn256_cs2,270
83,cn256_cs2,104
84,cn256_cs2,878
85,cn256_cs2,520
86,cn256_cs2,989
87,cn256_cs2,591
88,cn256_cs2,762
89,cn256_cs2,717
90,cn256_cs2,378
91,cn256_cs2,793
92,cn256_cs2,166
93,cn256_cs2,140
94,cn256_cs2,303
95,cn256_cs2,439
96,cn256_cs2,349
97,cn2_cs256,163
98,cn2_cs256,198
99,cn2_cs256,210
100,cn2_cs256,405
101,cn2_cs256,103
102,cn2_cs256,240
103,cn2_cs256,115
104,cn2_cs256,169
105,cn2_cs256,515
106,cn2_cs256,417
107,cn2_cs256,467
108,cn2_cs256,244
109,cn2_cs256,444
110,cn2_cs256,556
111,cn2_cs256,171
112,cn2_cs256,130
113,cn2_cs256,228
114,cn2_cs256,185
115,cn2_cs256,385
116,cn2_cs256,255
117,cn2_cs256,265
118,cn2_cs256,181
119,cn2_cs256,249
120,cn2_cs256,878
121,cn2_cs256,129
122,cn2_cs256,218
123,cn2_cs256,109
124,cn2_cs256,280
125,cn2_cs256,240
126,cn2_cs256,244
127,cn2_cs256,175
128,cn2_cs256,130
129,cn2_cs256,65
130,cn2_cs256,35
131,cn2_cs256,664
132,cn2_cs256,159
133,cn2_cs256,376
134,cn2_cs256,44
135,cn2_cs256,86
136,cn32_cs16,337
137,cn32_cs16,402
138,cn32_cs16,118
139,cn32_cs16,276
140,cn32_cs16,190
141,cn32_cs16,182
142,cn32_cs16,293
143,cn32_cs16,147
144,cn32_cs16,410
145,cn32_cs16,513
146,cn32_cs16,529
147,cn32_cs16,373
148,cn32_cs16,143
149,cn32_cs16,527
150,cn32_cs16,196
151,cn32_cs16,835
152,cn32_cs16,427
153,cn32_cs16,252
154,cn32_cs16,172
155,cn32_cs16,232
156,cn32_cs16,303
157,cn32_cs16,197
158,cn32_cs16,396
159,cn32_cs16,174
160,cn32_cs16,270
161,cn32_cs16,565
162,cn32_cs16,226
163,cn32_cs16,606
164,cn32_cs16,437
165,cn32_cs16,279
166,cn32_cs16,635
167,cn32_cs16,199
168,cn32_cs16,371
169,cn32_cs16,162
170,cn32_cs16,254
171,cn32_cs16,277
172,cn32_cs16,198
173,cn32_cs16,634
174,cn32_cs16,662
175,cn32_cs16,349
176,cn32_cs16,238
177,cn32_cs16,293
178,cn32_cs16,161
179,cn32_cs16,172
180,cn4_cs128,250
181,cn4_cs128,243
182,cn4_cs128,153
183,cn4_cs128,146
184,cn4_cs128,160
185,cn4_cs128,563
186,cn4_cs128,384
