,dims,gens
0,cn16_cs32,976
1,cn1_cs512,616
2,cn1_cs512,413
3,cn1_cs512,760
4,cn1_cs512,400
5,cn1_cs512,812
6,cn1_cs512,262
7,cn1_cs512,261
8,cn1_cs512,651
9,cn1_cs512,473
10,cn1_cs512,524
11,cn1_cs512,420
12,cn1_cs512,515
13,cn1_cs512,626
14,cn1_cs512,754
15,cn1_cs512,735
16,cn2_cs256,830
17,cn2_cs256,856
18,cn2_cs256,413
19,cn2_cs256,912
20,cn2_cs256,707
21,cn2_cs256,189
22,cn2_cs256,693
23,cn2_cs256,734
24,cn2_cs256,685
25,cn4_cs128,922
26,cn4_cs128,593
27,cn4_cs128,803
28,cn4_cs128,866
29,cn4_cs128,997
30,cn4_cs128,545
31,cn8_cs64,815
32,cn8_cs64,937
33,cn8_cs64,755
