,dims,gens
0,cn128_cs4,586
1,cn16_cs32,534
2,cn16_cs32,278
3,cn16_cs32,257
4,cn16_cs32,774
5,cn16_cs32,210
6,cn16_cs32,413
7,cn16_cs32,514
8,cn256_cs2,714
9,cn2_cs256,623
10,cn2_cs256,255
11,cn2_cs256,577
12,cn2_cs256,456
13,cn2_cs256,943
14,cn2_cs256,726
15,cn2_cs256,248
16,cn2_cs256,311
17,cn2_cs256,620
18,cn2_cs256,717
19,cn2_cs256,150
20,cn2_cs256,483
21,cn2_cs256,531
22,cn2_cs256,608
23,cn32_cs16,442
24,cn32_cs16,896
25,cn4_cs128,892
26,cn4_cs128,974
27,cn4_cs128,522
28,cn4_cs128,593
29,cn4_cs128,431
30,cn4_cs128,877
31,cn4_cs128,847
32,cn4_cs128,765
33,cn4_cs128,779
34,cn4_cs128,863
35,cn4_cs128,944
36,cn4_cs128,889
37,cn4_cs128,334
38,cn64_cs8,761
39,cn8_cs64,415
40,cn8_cs64,920
41,cn8_cs64,279
42,cn8_cs64,570
43,cn8_cs64,289
44,cn8_cs64,873
45,cn8_cs64,413
46,cn8_cs64,771
47,cn8_cs64,950
48,cn8_cs64,592
49,cn8_cs64,357
50,cn8_cs64,384
51,cn8_cs64,989
52,cn8_cs64,857
53,cn8_cs64,405
54,cn8_cs64,281
55,cn8_cs64,616
