,dims,gens
0,cn128_cs4,996
1,cn128_cs4,933
2,cn128_cs4,414
3,cn16_cs32,206
4,cn16_cs32,535
5,cn16_cs32,911
6,cn16_cs32,303
7,cn16_cs32,611
8,cn16_cs32,611
9,cn16_cs32,842
10,cn16_cs32,895
11,cn16_cs32,402
12,cn16_cs32,490
13,cn16_cs32,847
14,cn16_cs32,917
15,cn16_cs32,881
16,cn16_cs32,385
17,cn16_cs32,282
18,cn2_cs256,177
19,cn2_cs256,395
20,cn2_cs256,770
21,cn2_cs256,777
22,cn2_cs256,355
23,cn2_cs256,730
24,cn2_cs256,428
25,cn2_cs256,571
26,cn2_cs256,249
27,cn2_cs256,466
28,cn2_cs256,761
29,cn2_cs256,830
30,cn2_cs256,373
31,cn2_cs256,530
32,cn2_cs256,308
33,cn2_cs256,742
34,cn2_cs256,611
35,cn2_cs256,391
36,cn32_cs16,876
37,cn32_cs16,784
38,cn32_cs16,438
39,cn32_cs16,763
40,cn32_cs16,793
41,cn32_cs16,375
42,cn32_cs16,814
43,cn32_cs16,942
44,cn32_cs16,382
45,cn32_cs16,948
46,cn4_cs128,431
47,cn4_cs128,412
48,cn4_cs128,177
49,cn4_cs128,671
50,cn4_cs128,877
51,cn4_cs128,500
52,cn4_cs128,389
53,cn4_cs128,668
54,cn4_cs128,509
55,cn4_cs128,670
56,cn4_cs128,504
57,cn4_cs128,383
58,cn4_cs128,491
59,cn4_cs128,706
60,cn4_cs128,443
61,cn64_cs8,738
62,cn64_cs8,438
63,cn64_cs8,851
64,cn64_cs8,523
65,cn64_cs8,781
66,cn8_cs64,779
67,cn8_cs64,959
68,cn8_cs64,723
69,cn8_cs64,527
70,cn8_cs64,437
71,cn8_cs64,816
72,cn8_cs64,883
73,cn8_cs64,251
74,cn8_cs64,641
75,cn8_cs64,560
76,cn8_cs64,612
77,cn8_cs64,612
78,cn8_cs64,638
