,dims,gens
0,cn128_cs4,390
1,cn128_cs4,403
2,cn128_cs4,542
3,cn128_cs4,488
4,cn16_cs32,295
5,cn16_cs32,115
6,cn16_cs32,455
7,cn16_cs32,348
8,cn16_cs32,376
9,cn16_cs32,734
10,cn16_cs32,904
11,cn16_cs32,398
12,cn16_cs32,189
13,cn16_cs32,760
14,cn16_cs32,176
15,cn16_cs32,135
16,cn16_cs32,168
17,cn16_cs32,557
18,cn16_cs32,644
19,cn16_cs32,679
20,cn16_cs32,438
21,cn16_cs32,618
22,cn16_cs32,649
23,cn16_cs32,366
24,cn16_cs32,924
25,cn16_cs32,309
26,cn16_cs32,271
27,cn16_cs32,755
28,cn16_cs32,144
29,cn16_cs32,695
30,cn16_cs32,730
31,cn16_cs32,323
32,cn16_cs32,996
33,cn16_cs32,922
34,cn16_cs32,89
35,cn16_cs32,323
36,cn16_cs32,611
37,cn16_cs32,334
38,cn16_cs32,432
39,cn16_cs32,243
40,cn16_cs32,619
41,cn16_cs32,278
42,cn1_cs512,172
43,cn1_cs512,109
44,cn1_cs512,243
45,cn1_cs512,120
46,cn1_cs512,102
47,cn1_cs512,231
48,cn1_cs512,470
49,cn1_cs512,245
50,cn1_cs512,121
51,cn1_cs512,169
52,cn1_cs512,219
53,cn1_cs512,209
54,cn1_cs512,180
55,cn1_cs512,184
56,cn1_cs512,280
57,cn1_cs512,654
58,cn1_cs512,267
59,cn1_cs512,379
60,cn1_cs512,282
61,cn1_cs512,257
62,cn1_cs512,152
63,cn1_cs512,244
64,cn1_cs512,135
65,cn1_cs512,170
66,cn1_cs512,338
67,cn1_cs512,171
68,cn1_cs512,822
69,cn1_cs512,473
70,cn1_cs512,482
71,cn1_cs512,571
72,cn1_cs512,567
73,cn1_cs512,226
74,cn1_cs512,660
75,cn1_cs512,324
76,cn1_cs512,342
77,cn1_cs512,493
78,cn1_cs512,881
79,cn1_cs512,252
80,cn1_cs512,503
81,cn1_cs512,244
82,cn1_cs512,101
83,cn1_cs512,229
84,cn1_cs512,154
85,cn2_cs256,390
86,cn2_cs256,178
87,cn2_cs256,183
88,cn2_cs256,379
89,cn2_cs256,232
90,cn2_cs256,142
91,cn2_cs256,625
92,cn2_cs256,839
93,cn2_cs256,287
94,cn2_cs256,264
95,cn2_cs256,60
96,cn2_cs256,189
97,cn2_cs256,369
98,cn2_cs256,164
99,cn2_cs256,166
100,cn2_cs256,539
101,cn2_cs256,709
102,cn2_cs256,722
103,cn2_cs256,252
104,cn2_cs256,301
105,cn2_cs256,394
106,cn2_cs256,801
107,cn2_cs256,558
108,cn2_cs256,146
109,cn2_cs256,78
110,cn2_cs256,910
111,cn2_cs256,331
112,cn2_cs256,199
113,cn2_cs256,369
114,cn2_cs256,311
115,cn2_cs256,275
116,cn2_cs256,435
117,cn2_cs256,122
118,cn2_cs256,61
119,cn2_cs256,203
120,cn2_cs256,96
121,cn2_cs256,379
122,cn2_cs256,122
123,cn2_cs256,376
124,cn2_cs256,209
125,cn2_cs256,369
126,cn2_cs256,170
127,cn2_cs256,557
128,cn2_cs256,275
129,cn2_cs256,109
130,cn32_cs16,457
131,cn32_cs16,380
132,cn32_cs16,216
133,cn32_cs16,261
134,cn32_cs16,460
135,cn32_cs16,735
136,cn32_cs16,725
137,cn32_cs16,235
138,cn32_cs16,172
139,cn32_cs16,674
140,cn32_cs16,505
141,cn32_cs16,413
142,cn32_cs16,652
143,cn32_cs16,729
144,cn32_cs16,548
145,cn32_cs16,366
146,cn32_cs16,69
147,cn32_cs16,304
148,cn32_cs16,823
149,cn32_cs16,170
150,cn32_cs16,532
151,cn32_cs16,904
152,cn32_cs16,260
153,cn32_cs16,983
154,cn32_cs16,431
155,cn32_cs16,214
156,cn32_cs16,864
157,cn32_cs16,286
158,cn32_cs16,192
159,cn32_cs16,574
160,cn32_cs16,559
161,cn4_cs128,298
162,cn4_cs128,416
163,cn4_cs128,833
164,cn4_cs128,359
165,cn4_cs128,751
166,cn4_cs128,224
167,cn4_cs128,323
168,cn4_cs128,97
169,cn4_cs128,208
170,cn4_cs128,695
171,cn4_cs128,261
172,cn4_cs128,643
173,cn4_cs128,98
174,cn4_cs128,251
175,cn4_cs128,513
176,cn4_cs128,79
177,cn4_cs128,321
178,cn4_cs128,376
179,cn4_cs128,191
180,cn4_cs128,240
181,cn4_cs128,563
182,cn4_cs128,218
183,cn4_cs128,134
184,cn4_cs128,191
185,cn4_cs128,190
186,cn4_cs128,273
187,cn4_cs128,234
188,cn4_cs128,216
189,cn4_cs128,218
190,cn4_cs128,443
191,cn4_cs128,228
192,cn4_cs128,363
193,cn4_cs128,199
194,cn4_cs128,245
195,cn4_cs128,273
196,cn4_cs128,321
197,cn4_cs128,85
198,cn4_cs128,446
199,cn4_cs128,394
200,cn4_cs128,666
201,cn4_cs128,163
202,cn4_cs128,173
203,cn4_cs128,313
204,cn64_cs8,784
205,cn64_cs8,367
206,cn64_cs8,683
207,cn64_cs8,325
208,cn64_cs8,509
209,cn64_cs8,878
210,cn64_cs8,845
211,cn64_cs8,894
212,cn64_cs8,899
213,cn64_cs8,958
214,cn64_cs8,400
215,cn64_cs8,712
216,cn8_cs64,258
217,cn8_cs64,773
218,cn8_cs64,224
219,cn8_cs64,580
220,cn8_cs64,52
221,cn8_cs64,236
222,cn8_cs64,329
223,cn8_cs64,379
224,cn8_cs64,291
225,cn8_cs64,374
226,cn8_cs64,532
227,cn8_cs64,335
228,cn8_cs64,353
229,cn8_cs64,53
230,cn8_cs64,221
231,cn8_cs64,598
232,cn8_cs64,188
233,cn8_cs64,420
234,cn8_cs64,440
235,cn8_cs64,179
236,cn8_cs64,285
237,cn8_cs64,729
238,cn8_cs64,268
239,cn8_cs64,636
240,cn8_cs64,244
241,cn8_cs64,453
242,cn8_cs64,181
243,cn8_cs64,897
244,cn8_cs64,293
245,cn8_cs64,480
246,cn8_cs64,668
247,cn8_cs64,305
248,cn8_cs64,341
249,cn8_cs64,364
