,dims,gens
0,cn128_cs4,324
1,cn128_cs4,773
2,cn128_cs4,968
3,cn128_cs4,936
4,cn128_cs4,928
5,cn128_cs4,893
6,cn128_cs4,302
7,cn128_cs4,465
8,cn128_cs4,375
9,cn128_cs4,218
10,cn128_cs4,256
11,cn128_cs4,343
12,cn128_cs4,228
13,cn128_cs4,246
14,cn128_cs4,587
15,cn128_cs4,249
16,cn128_cs4,444
17,cn128_cs4,467
18,cn128_cs4,741
19,cn128_cs4,486
20,cn128_cs4,626
21,cn128_cs4,465
22,cn128_cs4,714
23,cn128_cs4,509
24,cn128_cs4,985
25,cn128_cs4,279
26,cn128_cs4,533
27,cn128_cs4,466
28,cn16_cs32,213
29,cn16_cs32,428
30,cn16_cs32,267
31,cn16_cs32,151
32,cn16_cs32,272
33,cn16_cs32,182
34,cn16_cs32,347
35,cn16_cs32,372
36,cn16_cs32,669
37,cn16_cs32,435
38,cn16_cs32,305
39,cn16_cs32,362
40,cn16_cs32,601
41,cn16_cs32,243
42,cn16_cs32,425
43,cn16_cs32,123
44,cn16_cs32,396
45,cn16_cs32,220
46,cn16_cs32,166
47,cn16_cs32,168
48,cn16_cs32,425
49,cn16_cs32,429
50,cn16_cs32,99
51,cn16_cs32,319
52,cn16_cs32,423
53,cn16_cs32,497
54,cn16_cs32,560
55,cn16_cs32,800
56,cn16_cs32,457
57,cn16_cs32,531
58,cn16_cs32,197
59,cn16_cs32,243
60,cn16_cs32,391
61,cn16_cs32,425
62,cn16_cs32,305
63,cn16_cs32,405
64,cn16_cs32,290
65,cn16_cs32,522
66,cn16_cs32,194
67,cn256_cs2,124
68,cn256_cs2,290
69,cn256_cs2,913
70,cn256_cs2,345
71,cn256_cs2,301
72,cn256_cs2,947
73,cn256_cs2,610
74,cn256_cs2,574
75,cn256_cs2,334
76,cn256_cs2,917
77,cn256_cs2,583
78,cn256_cs2,542
79,cn256_cs2,550
80,cn256_cs2,474
81,cn256_cs2,700
82,cn256_cs2,761
83,cn2_cs256,193
84,cn2_cs256,153
85,cn2_cs256,220
86,cn2_cs256,308
87,cn2_cs256,153
88,cn2_cs256,268
89,cn2_cs256,77
90,cn2_cs256,440
91,cn2_cs256,199
92,cn2_cs256,176
93,cn2_cs256,363
94,cn2_cs256,341
95,cn2_cs256,227
96,cn2_cs256,168
97,cn2_cs256,140
98,cn2_cs256,520
99,cn2_cs256,323
100,cn2_cs256,149
101,cn2_cs256,149
102,cn2_cs256,149
103,cn2_cs256,750
104,cn2_cs256,240
105,cn2_cs256,292
106,cn2_cs256,190
107,cn2_cs256,118
108,cn2_cs256,453
109,cn2_cs256,366
110,cn2_cs256,31
111,cn2_cs256,209
112,cn2_cs256,286
113,cn2_cs256,215
114,cn2_cs256,355
115,cn2_cs256,941
116,cn2_cs256,869
117,cn2_cs256,194
118,cn2_cs256,197
119,cn2_cs256,238
