,dims,gens
0,cn128_cs4,300
1,cn128_cs4,369
2,cn128_cs4,286
3,cn128_cs4,236
4,cn128_cs4,315
5,cn128_cs4,601
6,cn128_cs4,390
7,cn128_cs4,337
8,cn128_cs4,353
9,cn128_cs4,200
10,cn128_cs4,905
11,cn128_cs4,599
12,cn128_cs4,507
13,cn128_cs4,174
14,cn128_cs4,227
15,cn128_cs4,684
16,cn128_cs4,106
17,cn128_cs4,878
18,cn128_cs4,875
19,cn128_cs4,155
20,cn128_cs4,365
21,cn128_cs4,650
22,cn128_cs4,309
23,cn128_cs4,404
24,cn128_cs4,252
25,cn128_cs4,488
26,cn128_cs4,435
27,cn128_cs4,701
28,cn128_cs4,249
29,cn128_cs4,905
30,cn128_cs4,329
31,cn128_cs4,467
32,cn128_cs4,636
33,cn128_cs4,194
34,cn128_cs4,214
35,cn128_cs4,744
36,cn128_cs4,294
37,cn16_cs32,233
38,cn16_cs32,137
39,cn16_cs32,126
40,cn16_cs32,94
41,cn16_cs32,141
42,cn16_cs32,340
43,cn16_cs32,348
44,cn16_cs32,370
45,cn16_cs32,296
46,cn16_cs32,216
47,cn16_cs32,273
48,cn16_cs32,83
49,cn16_cs32,253
50,cn16_cs32,253
51,cn16_cs32,726
52,cn16_cs32,937
53,cn16_cs32,388
54,cn16_cs32,184
55,cn16_cs32,245
56,cn16_cs32,339
57,cn16_cs32,273
58,cn16_cs32,236
59,cn16_cs32,85
60,cn16_cs32,443
61,cn16_cs32,136
62,cn16_cs32,290
63,cn16_cs32,155
64,cn16_cs32,715
65,cn16_cs32,432
66,cn16_cs32,841
67,cn16_cs32,260
68,cn16_cs32,251
69,cn16_cs32,185
70,cn16_cs32,388
71,cn16_cs32,839
72,cn16_cs32,279
73,cn16_cs32,462
74,cn16_cs32,302
75,cn16_cs32,171
76,cn16_cs32,548
77,cn16_cs32,82
78,cn16_cs32,72
79,cn16_cs32,430
80,cn16_cs32,54
81,cn16_cs32,146
82,cn16_cs32,807
83,cn256_cs2,814
84,cn256_cs2,704
85,cn256_cs2,578
86,cn256_cs2,149
87,cn256_cs2,930
88,cn256_cs2,671
89,cn256_cs2,706
90,cn256_cs2,869
91,cn256_cs2,655
92,cn256_cs2,252
93,cn256_cs2,764
94,cn256_cs2,955
95,cn256_cs2,786
96,cn256_cs2,345
97,cn256_cs2,358
98,cn256_cs2,699
99,cn256_cs2,890
100,cn256_cs2,442
101,cn256_cs2,314
102,cn2_cs256,192
103,cn2_cs256,722
104,cn2_cs256,61
105,cn2_cs256,161
106,cn2_cs256,327
107,cn2_cs256,202
108,cn2_cs256,126
109,cn2_cs256,463
110,cn2_cs256,259
111,cn2_cs256,373
112,cn2_cs256,179
113,cn2_cs256,541
114,cn2_cs256,220
115,cn2_cs256,50
116,cn2_cs256,286
117,cn2_cs256,318
118,cn2_cs256,200
119,cn2_cs256,175
120,cn2_cs256,245
121,cn2_cs256,130
122,cn2_cs256,130
123,cn2_cs256,581
124,cn2_cs256,394
125,cn2_cs256,155
126,cn2_cs256,213
127,cn2_cs256,500
128,cn2_cs256,263
129,cn2_cs256,137
130,cn2_cs256,283
131,cn2_cs256,208
132,cn2_cs256,690
133,cn2_cs256,492
134,cn2_cs256,59
135,cn2_cs256,342
136,cn2_cs256,52
137,cn2_cs256,690
138,cn2_cs256,184
139,cn2_cs256,228
140,cn2_cs256,239
141,cn2_cs256,71
142,cn2_cs256,246
143,cn2_cs256,212
144,cn2_cs256,335
145,cn32_cs16,456
146,cn32_cs16,298
147,cn32_cs16,116
148,cn32_cs16,198
149,cn32_cs16,252
150,cn32_cs16,342
151,cn32_cs16,117
152,cn32_cs16,291
153,cn32_cs16,85
154,cn32_cs16,177
155,cn32_cs16,374
156,cn32_cs16,176
157,cn32_cs16,431
158,cn32_cs16,288
159,cn32_cs16,185
160,cn32_cs16,174
161,cn32_cs16,476
162,cn32_cs16,158
163,cn32_cs16,886
164,cn32_cs16,269
165,cn32_cs16,636
166,cn32_cs16,195
167,cn32_cs16,185
168,cn32_cs16,869
169,cn32_cs16,301
170,cn32_cs16,598
171,cn32_cs16,247
172,cn32_cs16,227
173,cn32_cs16,185
174,cn32_cs16,295
175,cn32_cs16,71
176,cn32_cs16,120
177,cn32_cs16,279
178,cn32_cs16,90
179,cn32_cs16,307
180,cn32_cs16,427
181,cn32_cs16,560
182,cn32_cs16,264
183,cn32_cs16,795
184,cn32_cs16,154
185,cn32_cs16,166
186,cn32_cs16,398
187,cn32_cs16,487
188,cn32_cs16,200
189,cn4_cs128,363
190,cn4_cs128,97
191,cn4_cs128,501
192,cn4_cs128,258
193,cn4_cs128,215
194,cn4_cs128,259
195,cn4_cs128,140
196,cn4_cs128,962
197,cn4_cs128,226
198,cn4_cs128,467
199,cn4_cs128,103
200,cn4_cs128,587
201,cn4_cs128,179
202,cn4_cs128,181
203,cn4_cs128,112
204,cn4_cs128,331
205,cn4_cs128,824
206,cn4_cs128,374
207,cn4_cs128,116
208,cn4_cs128,68
209,cn4_cs128,188
210,cn4_cs128,108
211,cn4_cs128,187
212,cn4_cs128,634
213,cn4_cs128,267
214,cn4_cs128,338
215,cn4_cs128,95
216,cn4_cs128,435
217,cn4_cs128,253
