,problem,selection,count
0,for-loop-index,Cohort-Lexicase,4
1,for-loop-index,Down Sample,10
2,for-loop-index,Prog-Only Cohort,1
3,for-loop-index,Truncated,3
4,for-loop-index,Lexicase,1
5,median,Cohort-Lexicase,0
6,median,Down Sample,0
7,median,Prog-Only Cohort,3
8,median,Truncated,28
9,median,Lexicase,33
10,small-or-large,Cohort-Lexicase,0
11,small-or-large,Down Sample,0
12,small-or-large,Prog-Only Cohort,0
13,small-or-large,Truncated,1
14,small-or-large,Lexicase,6
15,smallest,Cohort-Lexicase,3
16,smallest,Down Sample,0
17,smallest,Prog-Only Cohort,16
18,smallest,Truncated,25
19,smallest,Lexicase,36
