,problem,selection,count
0,for-loop-index,Cohort-Lexicase,37
1,for-loop-index,Down Sample,6
2,for-loop-index,Prog-Only Cohort,0
3,for-loop-index,Truncated,2
4,for-loop-index,Lexicase,1
5,median,Cohort-Lexicase,0
6,median,Down Sample,0
7,median,Prog-Only Cohort,0
8,median,Truncated,11
9,median,Lexicase,33
10,small-or-large,Cohort-Lexicase,0
11,small-or-large,Down Sample,0
12,small-or-large,Prog-Only Cohort,0
13,small-or-large,Truncated,0
14,small-or-large,Lexicase,6
15,smallest,Cohort-Lexicase,0
16,smallest,Down Sample,0
17,smallest,Prog-Only Cohort,6
18,smallest,Truncated,6
19,smallest,Lexicase,36
