,problem,dims,count
0,median,cn128_cs4,0
1,median,cn16_cs32,40
2,median,cn1_cs512,33
3,median,cn256_cs2,0
4,median,cn2_cs256,38
5,median,cn32_cs16,41
6,median,cn4_cs128,42
7,median,cn64_cs8,28
8,median,cn8_cs64,43
9,small-or-large,cn128_cs4,0
10,small-or-large,cn16_cs32,10
11,small-or-large,cn1_cs512,6
12,small-or-large,cn256_cs2,0
13,small-or-large,cn2_cs256,9
14,small-or-large,cn32_cs16,0
15,small-or-large,cn4_cs128,15
16,small-or-large,cn64_cs8,0
17,small-or-large,cn8_cs64,16
18,smallest,cn128_cs4,44
19,smallest,cn16_cs32,48
20,smallest,cn1_cs512,36
21,smallest,cn256_cs2,0
22,smallest,cn2_cs256,45
23,smallest,cn32_cs16,46
24,smallest,cn4_cs128,45
25,smallest,cn64_cs8,45
26,smallest,cn8_cs64,46
