,problem,dims,count
0,compare-string-lengths,cn128_cs4,0
1,compare-string-lengths,cn16_cs32,50
2,compare-string-lengths,cn1_cs512,46
3,compare-string-lengths,cn256_cs2,0
4,compare-string-lengths,cn2_cs256,49
5,compare-string-lengths,cn32_cs16,42
6,compare-string-lengths,cn4_cs128,49
7,compare-string-lengths,cn64_cs8,3
8,compare-string-lengths,cn8_cs64,50
9,for-loop-index,cn128_cs4,30
10,for-loop-index,cn16_cs32,26
11,for-loop-index,cn1_cs512,21
12,for-loop-index,cn256_cs2,40
13,for-loop-index,cn2_cs256,26
14,for-loop-index,cn32_cs16,23
15,for-loop-index,cn4_cs128,28
16,for-loop-index,cn64_cs8,36
17,for-loop-index,cn8_cs64,30
18,median,cn128_cs4,0
19,median,cn16_cs32,40
20,median,cn1_cs512,33
21,median,cn256_cs2,0
22,median,cn2_cs256,38
23,median,cn32_cs16,41
24,median,cn4_cs128,42
25,median,cn64_cs8,28
26,median,cn8_cs64,43
27,small-or-large,cn128_cs4,0
28,small-or-large,cn16_cs32,10
29,small-or-large,cn1_cs512,6
30,small-or-large,cn256_cs2,0
31,small-or-large,cn2_cs256,9
32,small-or-large,cn32_cs16,0
33,small-or-large,cn4_cs128,15
34,small-or-large,cn64_cs8,0
35,small-or-large,cn8_cs64,16
36,smallest,cn128_cs4,44
37,smallest,cn16_cs32,48
38,smallest,cn1_cs512,36
39,smallest,cn256_cs2,0
40,smallest,cn2_cs256,45
41,smallest,cn32_cs16,46
42,smallest,cn4_cs128,45
43,smallest,cn64_cs8,45
44,smallest,cn8_cs64,46
