,problem,dims,count
0,compare-string-lengths,cn128_cs4,25
1,compare-string-lengths,cn16_cs32,43
2,compare-string-lengths,cn256_cs2,15
3,compare-string-lengths,cn2_cs256,46
4,compare-string-lengths,cn32_cs16,37
5,compare-string-lengths,cn4_cs128,47
6,compare-string-lengths,cn64_cs8,34
7,compare-string-lengths,cn8_cs64,42
8,for-loop-index,cn128_cs4,20
9,for-loop-index,cn16_cs32,19
10,for-loop-index,cn256_cs2,10
11,for-loop-index,cn2_cs256,21
12,for-loop-index,cn32_cs16,15
13,for-loop-index,cn4_cs128,16
14,for-loop-index,cn64_cs8,20
15,for-loop-index,cn8_cs64,13
16,median,cn128_cs4,28
17,median,cn16_cs32,35
18,median,cn256_cs2,11
19,median,cn2_cs256,35
20,median,cn32_cs16,35
21,median,cn4_cs128,36
22,median,cn64_cs8,36
23,median,cn8_cs64,38
24,small-or-large,cn128_cs4,1
25,small-or-large,cn16_cs32,6
26,small-or-large,cn256_cs2,0
27,small-or-large,cn2_cs256,9
28,small-or-large,cn32_cs16,3
29,small-or-large,cn4_cs128,8
30,small-or-large,cn64_cs8,1
31,small-or-large,cn8_cs64,2
32,smallest,cn128_cs4,25
33,smallest,cn16_cs32,39
34,smallest,cn256_cs2,6
35,smallest,cn2_cs256,38
36,smallest,cn32_cs16,38
37,smallest,cn4_cs128,31
38,smallest,cn64_cs8,28
39,smallest,cn8_cs64,39
0,compare-string-lengths,cn1_cs512,46
1,for-loop-index,cn1_cs512,21
2,median,cn1_cs512,33
3,small-or-large,cn1_cs512,6
4,smallest,cn1_cs512,36
0,compare-string-lengths,cn1_cs512,46
1,for-loop-index,cn1_cs512,21
2,median,cn1_cs512,33
3,small-or-large,cn1_cs512,6
4,smallest,cn1_cs512,36
