,problem,dims,count
0,compare-string-lengths,cn128_cs4,0
1,compare-string-lengths,cn16_cs32,26
2,compare-string-lengths,cn1_cs512,46
3,compare-string-lengths,cn256_cs2,0
4,compare-string-lengths,cn2_cs256,44
5,compare-string-lengths,cn32_cs16,3
6,compare-string-lengths,cn4_cs128,34
7,compare-string-lengths,cn64_cs8,0
8,compare-string-lengths,cn8_cs64,32
9,for-loop-index,cn128_cs4,3
10,for-loop-index,cn16_cs32,8
11,for-loop-index,cn1_cs512,21
12,for-loop-index,cn256_cs2,2
13,for-loop-index,cn2_cs256,15
14,for-loop-index,cn32_cs16,13
15,for-loop-index,cn4_cs128,19
16,for-loop-index,cn64_cs8,10
17,for-loop-index,cn8_cs64,15
18,median,cn128_cs4,0
19,median,cn16_cs32,21
20,median,cn1_cs512,33
21,median,cn256_cs2,0
22,median,cn2_cs256,33
23,median,cn32_cs16,13
24,median,cn4_cs128,33
25,median,cn64_cs8,1
26,median,cn8_cs64,30
27,small-or-large,cn128_cs4,0
28,small-or-large,cn16_cs32,0
29,small-or-large,cn1_cs512,6
30,small-or-large,cn256_cs2,0
31,small-or-large,cn2_cs256,2
32,small-or-large,cn32_cs16,0
33,small-or-large,cn4_cs128,0
34,small-or-large,cn64_cs8,0
35,small-or-large,cn8_cs64,0
36,smallest,cn128_cs4,3
37,smallest,cn16_cs32,22
38,smallest,cn1_cs512,36
39,smallest,cn256_cs2,0
40,smallest,cn2_cs256,36
41,smallest,cn32_cs16,17
42,smallest,cn4_cs128,36
43,smallest,cn64_cs8,3
44,smallest,cn8_cs64,26
