,problem,dims,count
0,compare-string-lengths,cn128_cs4,4
1,compare-string-lengths,cn16_cs32,36
2,compare-string-lengths,cn256_cs2,0
3,compare-string-lengths,cn2_cs256,39
4,compare-string-lengths,cn32_cs16,32
5,compare-string-lengths,cn4_cs128,38
6,compare-string-lengths,cn64_cs8,15
7,compare-string-lengths,cn8_cs64,37
8,median,cn128_cs4,3
9,median,cn16_cs32,30
10,median,cn256_cs2,0
11,median,cn2_cs256,41
12,median,cn32_cs16,17
13,median,cn4_cs128,33
14,median,cn64_cs8,18
15,median,cn8_cs64,24
16,small-or-large,cn128_cs4,0
17,small-or-large,cn16_cs32,4
18,small-or-large,cn256_cs2,0
19,small-or-large,cn2_cs256,6
20,small-or-large,cn32_cs16,1
21,small-or-large,cn4_cs128,2
22,small-or-large,cn64_cs8,0
23,small-or-large,cn8_cs64,8
24,smallest,cn128_cs4,16
25,smallest,cn16_cs32,33
26,smallest,cn256_cs2,6
27,smallest,cn2_cs256,38
28,smallest,cn32_cs16,24
29,smallest,cn4_cs128,33
30,smallest,cn64_cs8,22
31,smallest,cn8_cs64,30
0,compare-string-lengths,cn1_cs512,46
1,median,cn1_cs512,33
2,small-or-large,cn1_cs512,6
3,smallest,cn1_cs512,36
