,problem,dims,count
0,compare-string-lengths,cn128_cs4,25
1,compare-string-lengths,cn16_cs32,43
2,compare-string-lengths,cn256_cs2,15
3,compare-string-lengths,cn2_cs256,46
4,compare-string-lengths,cn32_cs16,37
5,compare-string-lengths,cn4_cs128,47
6,compare-string-lengths,cn64_cs8,34
7,compare-string-lengths,cn8_cs64,42
8,median,cn128_cs4,28
9,median,cn16_cs32,35
10,median,cn256_cs2,11
11,median,cn2_cs256,35
12,median,cn32_cs16,35
13,median,cn4_cs128,36
14,median,cn64_cs8,36
15,median,cn8_cs64,38
16,small-or-large,cn128_cs4,1
17,small-or-large,cn16_cs32,6
18,small-or-large,cn256_cs2,0
19,small-or-large,cn2_cs256,9
20,small-or-large,cn32_cs16,3
21,small-or-large,cn4_cs128,8
22,small-or-large,cn64_cs8,1
23,small-or-large,cn8_cs64,2
24,smallest,cn128_cs4,25
25,smallest,cn16_cs32,39
26,smallest,cn256_cs2,6
27,smallest,cn2_cs256,38
28,smallest,cn32_cs16,38
29,smallest,cn4_cs128,31
30,smallest,cn64_cs8,28
31,smallest,cn8_cs64,39
0,compare-string-lengths,cn1_cs512,46
1,median,cn1_cs512,33
2,small-or-large,cn1_cs512,6
3,smallest,cn1_cs512,36
