,dims,gens
0,cn16_cs32,314
1,cn16_cs32,1130
2,cn16_cs32,1402
3,cn16_cs32,2702
4,cn16_cs32,1260
5,cn16_cs32,233
6,cn16_cs32,343
7,cn16_cs32,342
8,cn16_cs32,378
9,cn16_cs32,2018
10,cn16_cs32,1180
11,cn16_cs32,463
12,cn16_cs32,295
13,cn16_cs32,361
14,cn16_cs32,180
15,cn16_cs32,998
16,cn16_cs32,2981
17,cn16_cs32,165
18,cn16_cs32,303
19,cn16_cs32,108
20,cn16_cs32,451
21,cn16_cs32,2448
22,cn16_cs32,690
23,cn16_cs32,120
24,cn16_cs32,37
25,cn16_cs32,507
26,cn16_cs32,1039
27,cn16_cs32,205
28,cn16_cs32,188
29,cn16_cs32,1130
30,cn16_cs32,691
31,cn16_cs32,343
32,cn16_cs32,380
33,cn16_cs32,945
34,cn16_cs32,865
35,cn16_cs32,2127
36,cn16_cs32,1040
37,cn16_cs32,444
38,cn16_cs32,106
39,cn16_cs32,2188
40,cn16_cs32,473
41,cn16_cs32,2007
42,cn16_cs32,2515
43,cn16_cs32,389
44,cn16_cs32,316
45,cn16_cs32,1000
46,cn16_cs32,1687
47,cn16_cs32,421
48,cn16_cs32,206
49,cn16_cs32,694
50,cn1_cs512,199
51,cn1_cs512,268
52,cn1_cs512,241
53,cn1_cs512,114
54,cn1_cs512,254
55,cn1_cs512,399
56,cn1_cs512,244
57,cn1_cs512,400
58,cn1_cs512,473
59,cn1_cs512,430
60,cn1_cs512,371
61,cn1_cs512,165
62,cn1_cs512,183
63,cn1_cs512,181
64,cn1_cs512,112
65,cn1_cs512,128
66,cn1_cs512,316
67,cn1_cs512,221
68,cn1_cs512,271
69,cn1_cs512,227
70,cn1_cs512,285
71,cn1_cs512,77
72,cn1_cs512,330
73,cn1_cs512,303
74,cn1_cs512,95
75,cn1_cs512,163
76,cn1_cs512,237
77,cn1_cs512,333
78,cn1_cs512,348
79,cn1_cs512,316
80,cn1_cs512,427
81,cn1_cs512,215
82,cn1_cs512,68
83,cn1_cs512,114
84,cn1_cs512,201
85,cn1_cs512,367
86,cn1_cs512,257
87,cn1_cs512,93
88,cn1_cs512,145
89,cn1_cs512,334
90,cn1_cs512,409
91,cn1_cs512,371
92,cn1_cs512,139
93,cn1_cs512,435
94,cn1_cs512,104
95,cn1_cs512,69
96,cn2_cs256,485
97,cn2_cs256,103
98,cn2_cs256,331
99,cn2_cs256,279
100,cn2_cs256,108
101,cn2_cs256,318
102,cn2_cs256,140
103,cn2_cs256,406
104,cn2_cs256,93
105,cn2_cs256,103
106,cn2_cs256,197
107,cn2_cs256,168
108,cn2_cs256,143
109,cn2_cs256,96
110,cn2_cs256,260
111,cn2_cs256,922
112,cn2_cs256,324
113,cn2_cs256,233
114,cn2_cs256,405
115,cn2_cs256,616
116,cn2_cs256,256
117,cn2_cs256,252
118,cn2_cs256,81
119,cn2_cs256,270
120,cn2_cs256,318
121,cn2_cs256,171
122,cn2_cs256,193
123,cn2_cs256,864
124,cn2_cs256,452
125,cn2_cs256,86
126,cn2_cs256,146
127,cn2_cs256,422
128,cn2_cs256,202
129,cn2_cs256,313
130,cn2_cs256,402
131,cn2_cs256,98
132,cn2_cs256,169
133,cn2_cs256,573
134,cn2_cs256,339
135,cn2_cs256,348
136,cn2_cs256,144
137,cn2_cs256,369
138,cn2_cs256,710
139,cn2_cs256,192
140,cn2_cs256,497
141,cn2_cs256,368
142,cn2_cs256,391
143,cn2_cs256,164
144,cn2_cs256,425
145,cn32_cs16,3105
146,cn32_cs16,4582
147,cn32_cs16,994
148,cn32_cs16,2449
149,cn32_cs16,1606
150,cn32_cs16,390
151,cn32_cs16,8190
152,cn32_cs16,1261
153,cn32_cs16,1139
154,cn32_cs16,1038
155,cn32_cs16,691
156,cn32_cs16,6739
157,cn32_cs16,3042
158,cn32_cs16,3785
159,cn32_cs16,1994
160,cn32_cs16,350
161,cn32_cs16,8198
162,cn32_cs16,4381
163,cn32_cs16,575
164,cn32_cs16,760
165,cn32_cs16,2260
166,cn32_cs16,2839
167,cn32_cs16,4086
168,cn32_cs16,6017
169,cn32_cs16,3315
170,cn32_cs16,1995
171,cn32_cs16,5093
172,cn32_cs16,954
173,cn32_cs16,2339
174,cn32_cs16,727
175,cn32_cs16,1987
176,cn32_cs16,2660
177,cn32_cs16,14484
178,cn32_cs16,1127
179,cn32_cs16,8553
180,cn32_cs16,654
181,cn32_cs16,532
182,cn32_cs16,7989
183,cn32_cs16,431
184,cn32_cs16,5308
185,cn32_cs16,1048
186,cn32_cs16,1173
187,cn4_cs128,357
188,cn4_cs128,137
189,cn4_cs128,856
190,cn4_cs128,262
191,cn4_cs128,171
192,cn4_cs128,360
193,cn4_cs128,146
194,cn4_cs128,1318
195,cn4_cs128,1365
196,cn4_cs128,337
197,cn4_cs128,216
198,cn4_cs128,760
199,cn4_cs128,175
200,cn4_cs128,302
201,cn4_cs128,116
202,cn4_cs128,1072
203,cn4_cs128,256
204,cn4_cs128,1257
205,cn4_cs128,166
206,cn4_cs128,128
207,cn4_cs128,623
208,cn4_cs128,425
209,cn4_cs128,471
210,cn4_cs128,258
211,cn4_cs128,248
212,cn4_cs128,401
213,cn4_cs128,1120
214,cn4_cs128,211
215,cn4_cs128,494
216,cn4_cs128,226
217,cn4_cs128,750
218,cn4_cs128,602
219,cn4_cs128,324
220,cn4_cs128,226
221,cn4_cs128,554
222,cn4_cs128,658
223,cn4_cs128,423
224,cn4_cs128,303
225,cn4_cs128,794
226,cn4_cs128,56
227,cn4_cs128,208
228,cn4_cs128,124
229,cn4_cs128,179
230,cn4_cs128,770
231,cn4_cs128,848
232,cn4_cs128,65
233,cn4_cs128,229
234,cn4_cs128,363
235,cn4_cs128,233
236,cn64_cs8,15753
237,cn64_cs8,22885
238,cn64_cs8,14657
239,cn8_cs64,128
240,cn8_cs64,2561
241,cn8_cs64,207
242,cn8_cs64,298
243,cn8_cs64,186
244,cn8_cs64,117
245,cn8_cs64,481
246,cn8_cs64,358
247,cn8_cs64,434
248,cn8_cs64,153
249,cn8_cs64,316
250,cn8_cs64,839
251,cn8_cs64,921
252,cn8_cs64,784
253,cn8_cs64,296
254,cn8_cs64,1044
255,cn8_cs64,459
256,cn8_cs64,557
257,cn8_cs64,305
258,cn8_cs64,549
259,cn8_cs64,120
260,cn8_cs64,2269
261,cn8_cs64,1114
262,cn8_cs64,624
263,cn8_cs64,193
264,cn8_cs64,1232
265,cn8_cs64,172
266,cn8_cs64,640
267,cn8_cs64,216
268,cn8_cs64,579
269,cn8_cs64,28
270,cn8_cs64,244
271,cn8_cs64,384
272,cn8_cs64,326
273,cn8_cs64,283
274,cn8_cs64,508
275,cn8_cs64,437
276,cn8_cs64,360
277,cn8_cs64,785
278,cn8_cs64,1232
279,cn8_cs64,109
280,cn8_cs64,199
281,cn8_cs64,318
282,cn8_cs64,404
283,cn8_cs64,134
284,cn8_cs64,889
285,cn8_cs64,464
286,cn8_cs64,149
287,cn8_cs64,229
288,cn8_cs64,2195
