,dims,gens
0,cn128_cs4,284
1,cn128_cs4,427
2,cn128_cs4,365
3,cn128_cs4,462
4,cn16_cs32,289
5,cn16_cs32,320
6,cn16_cs32,333
7,cn16_cs32,260
8,cn16_cs32,441
9,cn16_cs32,99
10,cn16_cs32,329
11,cn16_cs32,356
12,cn16_cs32,350
13,cn16_cs32,390
14,cn16_cs32,129
15,cn16_cs32,175
16,cn16_cs32,465
17,cn16_cs32,347
18,cn16_cs32,320
19,cn16_cs32,499
20,cn1_cs512,471
21,cn2_cs256,221
22,cn2_cs256,169
23,cn2_cs256,91
24,cn2_cs256,188
25,cn2_cs256,381
26,cn2_cs256,156
27,cn2_cs256,296
28,cn2_cs256,110
29,cn2_cs256,434
30,cn2_cs256,295
31,cn2_cs256,147
32,cn2_cs256,405
33,cn2_cs256,152
34,cn2_cs256,220
35,cn2_cs256,364
36,cn2_cs256,103
37,cn32_cs16,146
38,cn32_cs16,98
39,cn32_cs16,500
40,cn32_cs16,474
41,cn32_cs16,376
42,cn32_cs16,388
43,cn32_cs16,468
44,cn32_cs16,331
45,cn32_cs16,247
46,cn32_cs16,369
47,cn4_cs128,493
48,cn4_cs128,95
49,cn4_cs128,148
50,cn4_cs128,316
51,cn4_cs128,344
52,cn4_cs128,43
53,cn4_cs128,290
54,cn4_cs128,139
55,cn4_cs128,142
56,cn64_cs8,258
57,cn64_cs8,205
58,cn64_cs8,457
59,cn64_cs8,209
60,cn64_cs8,464
61,cn64_cs8,316
62,cn8_cs64,259
63,cn8_cs64,321
64,cn8_cs64,406
65,cn8_cs64,204
66,cn8_cs64,369
67,cn8_cs64,232
68,cn8_cs64,380
69,cn8_cs64,131
70,cn8_cs64,166
71,cn8_cs64,145
72,cn8_cs64,260
73,cn8_cs64,361
74,cn8_cs64,211
75,cn8_cs64,153
76,cn8_cs64,357
77,cn8_cs64,117
78,cn8_cs64,154
79,cn8_cs64,199
