,dims,gens
0,cn128_cs4,294
1,cn128_cs4,328
2,cn128_cs4,407
3,cn128_cs4,348
4,cn128_cs4,453
5,cn128_cs4,266
6,cn128_cs4,431
7,cn128_cs4,469
8,cn16_cs32,122
9,cn16_cs32,445
10,cn16_cs32,172
11,cn16_cs32,219
12,cn16_cs32,485
13,cn16_cs32,48
14,cn16_cs32,364
15,cn16_cs32,301
16,cn16_cs32,305
17,cn16_cs32,433
18,cn16_cs32,168
19,cn16_cs32,463
20,cn16_cs32,151
21,cn16_cs32,89
22,cn16_cs32,479
23,cn16_cs32,160
24,cn16_cs32,235
25,cn16_cs32,276
26,cn256_cs2,482
27,cn256_cs2,289
28,cn256_cs2,99
29,cn256_cs2,349
30,cn256_cs2,370
31,cn256_cs2,467
32,cn2_cs256,76
33,cn2_cs256,193
34,cn2_cs256,383
35,cn2_cs256,96
36,cn2_cs256,194
37,cn2_cs256,261
38,cn2_cs256,120
39,cn2_cs256,433
40,cn2_cs256,236
41,cn2_cs256,95
42,cn2_cs256,104
43,cn2_cs256,170
44,cn2_cs256,433
45,cn32_cs16,177
46,cn32_cs16,232
47,cn32_cs16,131
48,cn32_cs16,226
49,cn32_cs16,470
50,cn32_cs16,380
51,cn32_cs16,480
52,cn32_cs16,120
53,cn32_cs16,321
54,cn32_cs16,362
55,cn32_cs16,488
56,cn32_cs16,269
57,cn32_cs16,237
58,cn32_cs16,229
59,cn32_cs16,198
60,cn32_cs16,464
61,cn32_cs16,301
62,cn4_cs128,165
63,cn4_cs128,65
64,cn4_cs128,390
65,cn4_cs128,153
66,cn4_cs128,284
67,cn4_cs128,305
68,cn4_cs128,144
69,cn4_cs128,192
70,cn4_cs128,309
71,cn4_cs128,281
72,cn4_cs128,182
73,cn4_cs128,118
74,cn4_cs128,157
75,cn4_cs128,79
76,cn4_cs128,125
77,cn64_cs8,497
78,cn64_cs8,200
79,cn64_cs8,198
80,cn64_cs8,392
81,cn64_cs8,273
82,cn64_cs8,417
83,cn64_cs8,453
84,cn64_cs8,371
85,cn64_cs8,350
86,cn64_cs8,241
87,cn64_cs8,373
88,cn8_cs64,188
89,cn8_cs64,149
90,cn8_cs64,240
91,cn8_cs64,376
92,cn8_cs64,424
93,cn8_cs64,162
94,cn8_cs64,101
95,cn8_cs64,250
96,cn8_cs64,127
97,cn8_cs64,260
98,cn8_cs64,134
99,cn8_cs64,261
100,cn8_cs64,441
101,cn8_cs64,373
102,cn8_cs64,383
103,cn8_cs64,309
104,cn8_cs64,484
