,dims,gens
0,cn128_cs4,85
1,cn128_cs4,351
2,cn128_cs4,247
3,cn128_cs4,63
4,cn128_cs4,477
5,cn128_cs4,153
6,cn128_cs4,372
7,cn128_cs4,74
8,cn128_cs4,138
9,cn128_cs4,303
10,cn128_cs4,289
11,cn128_cs4,178
12,cn128_cs4,129
13,cn128_cs4,492
14,cn128_cs4,218
15,cn128_cs4,484
16,cn128_cs4,399
17,cn128_cs4,117
18,cn128_cs4,146
19,cn128_cs4,99
20,cn16_cs32,136
21,cn16_cs32,251
22,cn16_cs32,129
23,cn16_cs32,451
24,cn16_cs32,393
25,cn16_cs32,180
26,cn16_cs32,192
27,cn16_cs32,171
28,cn16_cs32,199
29,cn16_cs32,162
30,cn16_cs32,345
31,cn16_cs32,298
32,cn16_cs32,146
33,cn16_cs32,224
34,cn16_cs32,117
35,cn16_cs32,78
36,cn16_cs32,144
37,cn16_cs32,217
38,cn16_cs32,73
39,cn256_cs2,315
40,cn256_cs2,349
41,cn256_cs2,257
42,cn256_cs2,171
43,cn256_cs2,314
44,cn256_cs2,197
45,cn256_cs2,151
46,cn256_cs2,153
47,cn256_cs2,208
48,cn256_cs2,195
49,cn2_cs256,140
50,cn2_cs256,400
51,cn2_cs256,71
52,cn2_cs256,291
53,cn2_cs256,433
54,cn2_cs256,158
55,cn2_cs256,220
56,cn2_cs256,164
57,cn2_cs256,274
58,cn2_cs256,169
59,cn2_cs256,424
60,cn2_cs256,198
61,cn2_cs256,151
62,cn2_cs256,133
63,cn2_cs256,295
64,cn2_cs256,114
65,cn2_cs256,129
66,cn2_cs256,207
67,cn2_cs256,82
68,cn2_cs256,104
69,cn2_cs256,230
70,cn32_cs16,419
71,cn32_cs16,136
72,cn32_cs16,78
73,cn32_cs16,363
74,cn32_cs16,344
75,cn32_cs16,232
76,cn32_cs16,173
77,cn32_cs16,207
78,cn32_cs16,95
79,cn32_cs16,345
80,cn32_cs16,160
81,cn32_cs16,84
82,cn32_cs16,157
83,cn32_cs16,61
84,cn32_cs16,107
85,cn4_cs128,200
86,cn4_cs128,425
87,cn4_cs128,407
88,cn4_cs128,171
89,cn4_cs128,71
90,cn4_cs128,166
91,cn4_cs128,161
92,cn4_cs128,243
93,cn4_cs128,146
94,cn4_cs128,338
95,cn4_cs128,337
96,cn4_cs128,107
97,cn4_cs128,84
98,cn4_cs128,154
99,cn4_cs128,473
100,cn4_cs128,291
101,cn64_cs8,326
102,cn64_cs8,351
103,cn64_cs8,79
104,cn64_cs8,476
105,cn64_cs8,211
106,cn64_cs8,120
107,cn64_cs8,202
108,cn64_cs8,472
109,cn64_cs8,445
110,cn64_cs8,178
111,cn64_cs8,191
112,cn64_cs8,80
113,cn64_cs8,125
114,cn64_cs8,310
115,cn64_cs8,79
116,cn64_cs8,56
117,cn64_cs8,319
118,cn64_cs8,92
119,cn64_cs8,223
120,cn64_cs8,137
121,cn8_cs64,161
122,cn8_cs64,224
123,cn8_cs64,137
124,cn8_cs64,264
125,cn8_cs64,210
126,cn8_cs64,101
127,cn8_cs64,216
128,cn8_cs64,92
129,cn8_cs64,158
130,cn8_cs64,339
131,cn8_cs64,326
132,cn8_cs64,144
133,cn8_cs64,127
