,dims,gens
0,cn16_cs32,486
1,cn16_cs32,413
2,cn16_cs32,412
3,cn16_cs32,449
4,cn16_cs32,297
5,cn16_cs32,415
6,cn16_cs32,348
7,cn16_cs32,363
8,cn16_cs32,216
9,cn16_cs32,198
10,cn16_cs32,464
11,cn16_cs32,392
12,cn16_cs32,151
13,cn16_cs32,163
14,cn16_cs32,294
15,cn16_cs32,298
16,cn16_cs32,340
17,cn16_cs32,194
18,cn16_cs32,291
19,cn16_cs32,427
20,cn16_cs32,181
21,cn1_cs512,279
22,cn1_cs512,183
23,cn1_cs512,243
24,cn1_cs512,492
25,cn1_cs512,231
26,cn1_cs512,269
27,cn1_cs512,280
28,cn1_cs512,162
29,cn1_cs512,160
30,cn1_cs512,89
31,cn1_cs512,421
32,cn1_cs512,458
33,cn1_cs512,227
34,cn1_cs512,269
35,cn1_cs512,336
36,cn1_cs512,221
37,cn1_cs512,196
38,cn1_cs512,118
39,cn1_cs512,386
40,cn1_cs512,162
41,cn1_cs512,246
42,cn1_cs512,126
43,cn1_cs512,499
44,cn1_cs512,131
45,cn1_cs512,244
46,cn1_cs512,139
47,cn1_cs512,246
48,cn1_cs512,133
49,cn1_cs512,173
50,cn1_cs512,156
51,cn1_cs512,301
52,cn1_cs512,410
53,cn1_cs512,300
54,cn2_cs256,320
55,cn2_cs256,183
56,cn2_cs256,170
57,cn2_cs256,214
58,cn2_cs256,141
59,cn2_cs256,180
60,cn2_cs256,204
61,cn2_cs256,330
62,cn2_cs256,273
63,cn2_cs256,231
64,cn2_cs256,207
65,cn2_cs256,455
66,cn2_cs256,350
67,cn2_cs256,273
68,cn2_cs256,76
69,cn2_cs256,177
70,cn2_cs256,209
71,cn2_cs256,364
72,cn2_cs256,199
73,cn2_cs256,161
74,cn2_cs256,86
75,cn2_cs256,126
76,cn2_cs256,148
77,cn2_cs256,138
78,cn2_cs256,102
79,cn2_cs256,109
80,cn2_cs256,231
81,cn2_cs256,93
82,cn2_cs256,121
83,cn2_cs256,158
84,cn2_cs256,157
85,cn2_cs256,304
86,cn2_cs256,113
87,cn32_cs16,153
88,cn32_cs16,196
89,cn32_cs16,444
90,cn32_cs16,249
91,cn32_cs16,431
92,cn32_cs16,363
93,cn32_cs16,408
94,cn32_cs16,384
95,cn32_cs16,200
96,cn32_cs16,227
97,cn32_cs16,386
98,cn32_cs16,169
99,cn32_cs16,393
100,cn4_cs128,299
101,cn4_cs128,344
102,cn4_cs128,367
103,cn4_cs128,257
104,cn4_cs128,102
105,cn4_cs128,171
106,cn4_cs128,141
107,cn4_cs128,144
108,cn4_cs128,131
109,cn4_cs128,176
110,cn4_cs128,286
111,cn4_cs128,372
112,cn4_cs128,195
113,cn4_cs128,461
114,cn4_cs128,220
115,cn4_cs128,288
116,cn4_cs128,244
117,cn4_cs128,245
118,cn4_cs128,214
119,cn4_cs128,185
120,cn4_cs128,470
121,cn4_cs128,200
122,cn4_cs128,238
123,cn4_cs128,474
124,cn4_cs128,255
125,cn4_cs128,191
126,cn4_cs128,346
127,cn4_cs128,372
128,cn4_cs128,366
129,cn4_cs128,309
130,cn4_cs128,315
131,cn4_cs128,289
132,cn4_cs128,312
133,cn64_cs8,287
134,cn8_cs64,213
135,cn8_cs64,79
136,cn8_cs64,211
137,cn8_cs64,389
138,cn8_cs64,361
139,cn8_cs64,262
140,cn8_cs64,192
141,cn8_cs64,352
142,cn8_cs64,278
143,cn8_cs64,241
144,cn8_cs64,416
145,cn8_cs64,90
146,cn8_cs64,377
147,cn8_cs64,321
148,cn8_cs64,225
149,cn8_cs64,328
150,cn8_cs64,326
151,cn8_cs64,360
152,cn8_cs64,498
153,cn8_cs64,443
154,cn8_cs64,182
155,cn8_cs64,402
156,cn8_cs64,283
157,cn8_cs64,474
158,cn8_cs64,311
159,cn8_cs64,266
160,cn8_cs64,154
161,cn8_cs64,423
162,cn8_cs64,255
163,cn8_cs64,322
