,dims,gens
0,cn128_cs4,387
1,cn128_cs4,434
2,cn128_cs4,495
3,cn16_cs32,209
4,cn16_cs32,249
5,cn16_cs32,308
6,cn16_cs32,167
7,cn16_cs32,177
8,cn16_cs32,190
9,cn16_cs32,184
10,cn16_cs32,171
11,cn16_cs32,229
12,cn16_cs32,152
13,cn16_cs32,474
14,cn16_cs32,312
15,cn16_cs32,442
16,cn16_cs32,409
17,cn16_cs32,295
18,cn16_cs32,186
19,cn16_cs32,305
20,cn16_cs32,281
21,cn16_cs32,249
22,cn16_cs32,133
23,cn16_cs32,138
24,cn16_cs32,217
25,cn16_cs32,435
26,cn16_cs32,118
27,cn16_cs32,118
28,cn16_cs32,373
29,cn16_cs32,298
30,cn16_cs32,223
31,cn16_cs32,419
32,cn16_cs32,340
33,cn2_cs256,141
34,cn2_cs256,234
35,cn2_cs256,292
36,cn2_cs256,193
37,cn2_cs256,133
38,cn2_cs256,343
39,cn2_cs256,167
40,cn2_cs256,179
41,cn2_cs256,333
42,cn2_cs256,316
43,cn2_cs256,153
44,cn2_cs256,149
45,cn2_cs256,373
46,cn2_cs256,231
47,cn2_cs256,109
48,cn2_cs256,229
49,cn2_cs256,274
50,cn2_cs256,242
51,cn2_cs256,269
52,cn2_cs256,323
53,cn2_cs256,257
54,cn2_cs256,160
55,cn2_cs256,131
56,cn2_cs256,162
57,cn2_cs256,453
58,cn2_cs256,164
59,cn2_cs256,142
60,cn2_cs256,210
61,cn2_cs256,140
62,cn2_cs256,212
63,cn2_cs256,300
64,cn2_cs256,62
65,cn2_cs256,396
66,cn2_cs256,184
67,cn2_cs256,158
68,cn2_cs256,190
69,cn2_cs256,437
70,cn2_cs256,207
71,cn2_cs256,221
72,cn2_cs256,183
73,cn2_cs256,220
74,cn32_cs16,497
75,cn32_cs16,315
76,cn32_cs16,139
77,cn32_cs16,388
78,cn32_cs16,360
79,cn32_cs16,210
80,cn32_cs16,330
81,cn32_cs16,432
82,cn32_cs16,469
83,cn32_cs16,318
84,cn32_cs16,377
85,cn32_cs16,484
86,cn32_cs16,199
87,cn32_cs16,110
88,cn32_cs16,417
89,cn32_cs16,279
90,cn32_cs16,297
91,cn4_cs128,353
92,cn4_cs128,129
93,cn4_cs128,296
94,cn4_cs128,457
95,cn4_cs128,229
96,cn4_cs128,217
97,cn4_cs128,234
98,cn4_cs128,271
99,cn4_cs128,270
100,cn4_cs128,427
101,cn4_cs128,218
102,cn4_cs128,266
103,cn4_cs128,332
104,cn4_cs128,106
105,cn4_cs128,351
106,cn4_cs128,417
107,cn4_cs128,390
108,cn4_cs128,383
109,cn4_cs128,438
110,cn4_cs128,185
111,cn4_cs128,279
112,cn4_cs128,257
113,cn4_cs128,239
114,cn4_cs128,175
115,cn4_cs128,213
116,cn4_cs128,148
117,cn4_cs128,324
118,cn4_cs128,92
119,cn4_cs128,268
120,cn4_cs128,147
121,cn4_cs128,346
122,cn4_cs128,265
123,cn4_cs128,363
124,cn64_cs8,343
125,cn64_cs8,160
126,cn64_cs8,243
127,cn64_cs8,224
128,cn64_cs8,313
129,cn64_cs8,475
130,cn64_cs8,243
131,cn64_cs8,365
132,cn64_cs8,102
133,cn64_cs8,363
134,cn64_cs8,280
135,cn64_cs8,127
136,cn64_cs8,441
137,cn64_cs8,350
138,cn64_cs8,348
139,cn64_cs8,317
140,cn64_cs8,197
141,cn64_cs8,249
142,cn8_cs64,291
143,cn8_cs64,219
144,cn8_cs64,138
145,cn8_cs64,241
146,cn8_cs64,224
147,cn8_cs64,443
148,cn8_cs64,242
149,cn8_cs64,233
150,cn8_cs64,309
151,cn8_cs64,229
152,cn8_cs64,210
153,cn8_cs64,154
154,cn8_cs64,109
155,cn8_cs64,490
156,cn8_cs64,229
157,cn8_cs64,438
158,cn8_cs64,92
159,cn8_cs64,328
160,cn8_cs64,133
161,cn8_cs64,382
162,cn8_cs64,320
163,cn8_cs64,407
164,cn8_cs64,184
165,cn8_cs64,327
0,cn1_cs512,279
1,cn1_cs512,183
2,cn1_cs512,243
3,cn1_cs512,492
4,cn1_cs512,231
5,cn1_cs512,269
6,cn1_cs512,280
7,cn1_cs512,162
8,cn1_cs512,160
9,cn1_cs512,89
10,cn1_cs512,421
11,cn1_cs512,458
12,cn1_cs512,227
13,cn1_cs512,269
14,cn1_cs512,336
15,cn1_cs512,221
16,cn1_cs512,196
17,cn1_cs512,118
18,cn1_cs512,386
19,cn1_cs512,162
20,cn1_cs512,246
21,cn1_cs512,126
22,cn1_cs512,499
23,cn1_cs512,131
24,cn1_cs512,244
25,cn1_cs512,139
26,cn1_cs512,246
27,cn1_cs512,133
28,cn1_cs512,173
29,cn1_cs512,156
30,cn1_cs512,301
31,cn1_cs512,410
32,cn1_cs512,300
